letter frequency
ª 0.0
İ 0.0
— 1.4192834046552318e-07
‘ 0.0
“ 8.1534547893338432e-07
-d 0.0
£ 0.0
$ 0.00023658598925230612
§ 0.0
( 0.015457287566651996
« 0.0
, 0.010556369215169352
0 0.0068120181461338372
Ĳ 0.0
4 0.0012210170560681944
· 0.0
8 0.0013518922510200428
» 0.0
_d 0.0
< 0.0014477487634819688
¿ 0.0
@ 0.00051023433207386638
‹ 0.0
D 0.0018042873491651271
H 0.00110373482395844
Ŋ 0.0
L 0.0021918511695992859
¸d 0.0
P 0.0023194824554443444
Œ 0.0
T 0.0030334210553121977
× 0.0
X 0.00066913755299741911
\ 0.0014322007235471796
ß 0.0
≤ 0.0
º 0.0
d 0.019317799625042615
ç 0.0
h 0.01176827720180957
l 0.025921679167374766
p 0.018408397354321655
t 0.056824890183217215
°d 0.0
x 0.005826418046860171
ˉd 0.0
C 0.0030559450185287202
– 2.4460364368001531e-06
# 0.00096085537449649755
‚ 0.0
¤ 0.0
space 0.21713445448453197
› 5.502173314281072e-07
+ 0.0016725101269097469
Æ 0.0
€ 0.0
/ 0.00075104862691167278
ı 0.0
3 0.0016757806888706027
7 0.00060983779909331757
; 0.0133540676798786
„ 0.0
¼ 0.0
? 0.00031846549693084894
≃ 0.0
÷ 0.0
G 0.0010455300301132442
† 0.0
K 0.00050114494192922833
O 0.0022275805467528742
Ð 0.0
S 0.0040350892702476354
W 0.00070324502781398649
[ 0.0021562366574424691
_ 0.010659251937710758
à 0.0
c 0.022589581523359145
g 0.012131274492113583
è 0.0
k 0.0051208034560621795
& 0.0009195384591661423
˘d 0.0
| 0.0005100480084498975
ð 0.0
s 0.036089638166978869
ˇd 1.703140085586278e-06
w 0.0054278367509053762
{ 0.0051813712944418578
‰ 0.0
Ə 0.0
˙d 0.0
ə 0.0
θ2 0.0
√ 0.0
∞ 2.751086657140536e-07
¡ 0.0
¥ 0.0
… 1.4192834046552318e-07
₩ 0.0
* 0.0015443000146687488
. 0.01698712214570778
± 0.0
˝d 0.0
2 0.0023542796369474032
Ʒ 0.0
6 0.00096874612618720504
: 0.0099047479238922372
½ 0.0
> 0.0024169006182058494
B 0.0016679322533528953
F 0.0015498712929718687
J 0.00031691457346453119
N 0.0022296491157473603
R 0.002311502135784379
V 0.00080442427827124695
≥ 0.0
Z 0.00050096284204753162
b 0.010159717252141055
f 0.015898154141377539
é 2.8385668093104636e-07
j 0.0021213684268733958
.d 0.0
n 0.039368529778843447
r 0.043999533659597259
v 0.0062875821268305104
ù 1.4192834046552318e-07
´d 0.0030210085937370521
z 0.0017620068956936484
̑d 0.0
‑ 0.0
ʒ 0.0
o 0.037539035287920124
’ 0.0
~d 4.5521678639393e-05
¨d 0.0049635633799483886
© 0.0
! 0.00062670845236201928
¢ 0.0
% 0.0015806909152562339
) 0.015444657086214812
” 8.1534547893338432e-07
/d 0.0
- 0.010457788345090275
® 0.0
1 0.0040153445833139879
ĳ 0.0
5 0.0015714046883595987
˛d 0.0
9 0.00075234007149466956
ẞ 0.0
= 0.0091852100780155359
¾ 0.0
A 0.002732303135234598
‡ 0.0
E 0.0033306422742606498
ˋd 1.6142227470595568e-05
I 0.0025850216812610283
ŋ 0.0
M 0.0020405999751317151
Q 0.00018443580156360327
œ 0.0
U 0.0011479298707684205
Y 0.00058139083380497471
] 0.0021557110020190063
Þ 0.0
a 0.040349219509559525
,d 0.0
e 0.067741175260502842
æ 0.0
i 0.040758984325371117
} 0.0051760249029960343
m 0.015581087564549161
q 0.0012136958570819073
u 0.018468712987337974
y 0.0065024280485575315
˵d 0.0
^d 2.3795620250833494e-05
ſ 0.0
þ 0.0
