letter frequency
/d 0.0
İ 0.0
— 1.4308049183203648e-07
‘ 0.0
“ 8.2196432196820248e-07
-d 0.0
£ 0.0
$ 0.00023850655613782645
§ 0.0
( 0.015582767332948798
« 0.0
, 0.010642064117095094
0 0.0068673170102651199
Ĳ 0.0
4 0.0012309290755075167
· 0.0
8 0.0013628666941741204
» 0.0
_d 0.0
< 0.0014595013543369211
¿ 0.0
@ 0.00051437633205084568
‹ 0.0
D 0.0018189342627280192
Ç 0.0
H 0.0011126947651620145
Ŋ 0.0
L 0.0022096442637196318
¸d 0.0
P 0.0023383116397487501
Œ 0.0
T 0.0030580458779700592
× 0.0
X 0.00067456950368142369
\ 0.0014438270979227545
ß 0.0
≤ 0.0
≠ 0.0
º 0.0
d 0.019474618405301864
ç 0.0
h 0.011863810177218844
l 0.02613210717616463
p 0.018557833753687244
t 0.057286185472528832
°d 0.0
x 0.005873715968420793
| 0.00051418849588176236
C 0.0030807526870855343
– 2.4658929659046077e-06
# 0.0009686554433841958
‚ 0.0
& 0.00092700312400203632
¤ 0.0
' 0.0030449603320673786
space 0.21077927830827745
› 5.5468390694223556e-07
+ 0.0016860872942457833
Æ 0.0
€ 0.0
/ 0.00075714551847664115
ı 0.0
° 0.0
3 0.0016893844061009035
7 0.00061478836394366547
; 0.013462473846507601
„ 0.0
¼ 0.0
? 0.0003210507484477251
À 0.0
≃ 0.0
÷ 0.0
G 0.0010540174741922388
† 0.0
È 0.0
K 0.00050521315570366645
O 0.0022456636861917039
Ð 0.0
S 0.004067845473846368
W 0.00070895385747501093
[ 0.0021737406386998408
_ 0.010745782024977057
à 0.0
c 0.022772960101138145
g 0.012229754220952741
è 0.0
k 0.0051623733122318225
… 1.4308049183203648e-07
o 0.037843771119134006
ˉd 0.0
ð 0.0
s 0.036382608026237918
ˇd 1.7169659019844375e-06
w 0.0054718990538200341
{ 0.0052234328305503135
Ə 0.0
˙d 0.0
ə 0.0
θ2 0.0
√ 0.0
∞ 2.7734195347111778e-07
¡ 0.0
" 0.0050034275450767133
¥ 0.0
‰ 0.0
₩ 0.0
* 0.001556836393001442
. 0.017125020862265097
± 0.0
˝d 0.0
2 0.0023733912991564196
Ʒ 0.0
6 0.0009766102509238862
: 0.0099851530693202163
½ 0.0
> 0.0024365206274362759
B 0.0016814722582500774
F 0.0015624528980428519
É 0.0
J 0.00031948723483496292
N 0.0022477490474955052
R 0.0023302665371414803
̑d 0.0
V 0.00081095446476132167
≥ 0.0
Z 0.00050502957756451351
^ 2.3845708764565141e-05
b 0.010242192197434215
f 0.016027212791390265
é 2.8616098366407297e-07
j 0.0021385893534613034
.d 0.0
n 0.039688117151129618
r 0.044356714774134193
v 0.0063386237039794527
ù 1.4308049183203648e-07
´d 5.7232196732814593e-07
z 0.001776310583357582
~ 4.5605055297600356e-05
‑ 0.0
ʒ 0.0
˘d 0.0
’ 0.0
~d 2.8616098366407297e-07
¨d 4.2924147549610937e-07
© 0.0
! 0.00063179597045337412
¢ 0.0
% 0.0015935227090479044
) 0.015570034320309465
” 8.2196432196820248e-07
ª 0.0
- 0.010542682983419604
® 0.0
1 0.0040479405027301725
ĳ 0.0
5 0.0015841610980597367
˛d 0.0
9 0.00075844744679837671
ẞ 0.0
= 0.0092597741313144456
¾ 0.0
A 0.002754483531205294
‡ 0.0
E 0.0033576798908146778
ˋd 1.6273267468511509e-05
I 0.0026060064701535247
ŋ 0.0
M 0.0020571652364610835
Q 0.00018593302164035812
œ 0.0
U 0.0011572485802307392
Y 0.00058611047078127977
] 0.0021732107160904695
Þ 0.0
a 0.040676767962836737
,d 0.0
e 0.068291087190633259
æ 0.0
i 0.041089859183303927
} 0.0052180430379614208
m 0.015707572319252676
q 0.0012235484442091986
u 0.018618639019279931
y 0.0065552137102317743
˵d 0.0
^d 1.4308049183203648e-07
ſ 0.0
þ 0.0
