letter frequency
/d 2.7586298844221054e-09
İ 1.6029057706821335e-07
— 5.9023640479476896e-05
‘ 2.0320700984753025e-06
“ 7.0062620629591309e-06
-d 1.1952388376298758e-09
£ 1.7344026661889218e-07
$ 7.6004796023491807e-06
§ 2.333654505193225e-06
( 0.0014828899834681425
« 0.00036778601367581161
, 0.009053638391150122
0 0.0028403469416824747
Ĳ 1.1200452162315321e-09
4 0.00077960484731748596
· 9.6730876840824464e-06
8 0.00076806935722879789
» 0.00037150010865083803
_d 4.0752047934646851e-08
< 5.2283791342650482e-06
¿ 1.8469462883947127e-07
@ 3.6013561416302481e-05
‹ 1.4667749957025659e-07
D 0.0011791300238419148
H 0.00040639677763755255
Ŋ 2.6964051501870213e-09
L 0.0025054469581889914
¸d 8.0354308567759164e-06
P 0.0015550937613201545
Œ 8.6216178614518849e-07
T 0.0010633977849443012
× 2.4468557310700393e-06
X 6.9105315441223391e-05
\ 6.8513898908465676e-06
ß 7.1786306670016231e-07
≤ 7.1715308895358238e-08
≠ 2.0728396654995582e-08
º 2.3526719813658936e-05
d 0.031141161544262674
ç 0.0003948677243185456
h 0.0056526728850795896
l 0.040348115086139773
p 0.022199050452045378
t 0.054997487652476647
°d 3.0242365402597594e-06
x 0.0031881836280726098
| 0.00019224581654349473
C 0.0028270826486799972
– 4.9579397993895626e-05
# 3.8136216500326952e-05
‚ 1.8266883354201153e-08
¤ 1.4461191936796516e-07
' 0.0074172690557129852
space 0.15723407283029553
› 1.7404291858378636e-05
+ 6.342649581876743e-05
Æ 2.2229965300858583e-07
€ 1.4119340238715221e-05
/ 0.00054032292549098212
ı 7.03650334801903e-07
° 7.049404893889091e-05
3 0.00094103907857755827
7 0.0006784939263391772
; 0.00046902551023635396
„ 2.8388447713787209e-07
¼ 3.6923139039310766e-08
? 0.00044038754343745328
≃ 3.2356861802244269e-09
÷ 5.6564399915406295e-08
G 0.00060104766757205586
† 2.3707852617387352e-06
K 0.00020133742141668849
O 0.00083511333614473202
Ð 1.4734123797263301e-08
S 0.0016839465558652173
W 0.00017362485133346275
[ 8.6697951103380312e-05
_ 0.00028823956076226402
à 0.0032993658884548469
c 0.025490503570631845
g 0.0077680762756361576
è 0.0024071494134691577
k 0.00067002208405608267
& 8.7272171811452015e-05
˘d 3.2428812129573238e-06
ˉd 1.0022029079497616e-05
ð 3.5096615813846412e-07
s 0.061865816947264306
ˇd 1.1447669760977335e-05
w 0.00036659785512377715
{ 6.3352007820480924e-06
‰ 1.7123549880354823e-07
Ə 6.284698157743597e-09
˙d 1.7555567888742561e-06
ə 1.3804437704718392e-07
θ2 0.0
√ 2.7685069779850269e-08
∞ 1.4543842558026295e-07
¡ 2.152474586636745e-07
" 0.00058122333580867727
¥ 2.1280028817860545e-08
… 3.9543787854785247e-05
₩ 6.0150576427248946e-10
* 0.00042744202686561449
. 0.0078124683251287446
± 7.8508926781899058e-07
˝d 6.2391012944540346e-07
2 0.0021309459022523761
Ʒ 3.9408998348887246e-10
6 0.00067498720413115701
: 0.0012860874391639094
½ 3.2576215820400939e-07
> 2.640932669675006e-05
B 0.00090702350421205803
F 0.00080407118688791373
J 0.00062721585928512881
N 0.00088922676891270295
R 0.0010732474444333307
̑d 1.8667420270525539e-09
V 0.00048377792672160821
≥ 5.1326922456097876e-08
Z 7.1905225845113454e-05
^ 6.2903132866394933e-05
b 0.0063481499083964362
f 0.0077839332313632366
é 0.018939203916756162
j 0.0026081988208385958
.d 5.4352130301829501e-07
n 0.057647108356525957
r 0.052784523100099762
v 0.010510353792329445
ù 0.00014929139094415267
´d 0.0004030205688500578
z 0.0008537228434960895
~ 3.7706208878001194e-05
‑ 1.7297789665688206e-06
ʒ 9.5138226750944319e-09
o 0.045341328654062867
’ 0.0014941648384837541
~d 9.6209615597323513e-06
¨d 0.00015051617349109628
© 1.0874842820814502e-05
! 0.00064560768328444874
¢ 6.2697520068911784e-08
% 0.00021063703237121897
) 0.0016296631025603894
” 7.0761405006477065e-06
ª 2.5558641249242116e-07
- 0.0024960206198976773
® 9.3395683920246491e-07
1 0.0027043881394806409
ĳ 2.0741578078361705e-09
5 0.00082028587427068484
˛d 2.0023164936751525e-06
9 0.00151254977693672
ẞ 2.6964051501870222e-10
= 4.9186545311558041e-05
¾ 5.3331114653361808e-08
A 0.0019801747020023342
‡ 3.4797303801529177e-08
E 0.0023707452011215088
ˋd 9.9027093712020497e-05
I 0.0013342976853727806
ŋ 2.7946523923884404e-08
M 0.0014827599291221325
Q 0.00019011484849319871
œ 8.2658423321621132e-05
U 0.00070571089153643085
Y 9.9717758911530794e-05
] 0.00011860976651001083
Þ 6.4879187949795419e-08
a 0.0578843122096813
,d 1.2497863840801914e-06
e 0.11062908353757628
æ 1.5925021784037618e-06
i 0.058026234746526024
} 8.6071262733965301e-06
m 0.021357535378768146
q 0.0068520947918998681
u 0.04216148712258995
y 0.0023065176770450608
˵d 2.1363825420712563e-09
^d 0.0018594894995969358
ſ 1.6800678243472983e-08
þ 6.7592455777955594e-08
