letter frequency
/d 2.7597825280754974e-09
İ 1.603575515896595e-07
— 5.9048302441193083e-05
‘ 2.032919162249853e-06
“ 7.009189502970737e-06
-d 1.1957382465822187e-09
£ 1.7351273550052423e-07
$ 7.6036553254231067e-06
§ 2.334629580562998e-06
( 0.0014835095822544003
« 0.00036793968641634977
, 0.0090574212903678075
0 0.0028415337293317528
Ĳ 1.1205132068877966e-09
4 0.00077993059111678591
· 9.6771294089947733e-06
8 0.00076839028113199126
» 0.00037165533325885403
_d 4.0769075441555205e-08
< 5.2305637180182614e-06
¿ 1.8477180015300975e-07
@ 3.6028609032235642e-05
‹ 1.4673878611323567e-07
D 0.0011796227020174758
Ç 6.3303232404538223e-06
H 0.00040656658318818044
Ŋ 2.6975317943595096e-09
L 0.0025064938139312473
¸d 1.7084650759188436e-06
P 0.0015557435291503868
Œ 8.6252202486971221e-07
T 0.0010638421064949263
× 2.4478781055266885e-06
X 6.9134189848663394e-05
\ 6.8542526203193359e-06
ß 7.1816301281200161e-07
≤ 7.1745273841404846e-08
≠ 2.0737057641010517e-08
º 2.3536550028444716e-05
d 0.031154173315945399
ç 0.00039503271266255475
h 0.0056550347523103041
l 0.040364973817005767
p 0.022208325924177163
t 0.055020467358979898
°d 3.0255001628552259e-06
x 0.0031895157529964707
| 0.00019232614298437804
C 0.0028219335708436536
– 4.9600113849530829e-05
# 3.8152151029334157e-05
‚ 1.827451584135877e-08
& 8.7308636911581701e-05
¤ 1.4467234284557828e-07
' 0.0074203682275703065
space 0.15729977024667174
› 1.7411563927265304e-05
+ 6.3452997434034931e-05
Æ 2.2239253690201368e-07
€ 1.4125239749921177e-05
/ 0.00054054868966266971
ı 7.0394434238051893e-07
° 7.0523503603530827e-05
3 0.00094143227475354454
7 0.00067877742276705106
; 0.00046922148407130211
„ 2.8400309313732792e-07
¼ 3.6938566705819166e-08
? 0.00044057155141541448
À 5.06884136079459e-05
≃ 3.2370381532314125e-09
÷ 5.6588034327887137e-08
G 0.00060129880448002784
† 2.3717758515242402e-06
È 1.752589462166294e-05
K 0.00020142154662039803
O 0.00083546227316314307
Ð 1.4740280184671089e-08
S 0.0016846501625074964
W 0.00017369739734048267
[ 8.6734176275762325e-05
_ 0.00028835999645472323
à 0.003300744468877331
c 0.025501154316978195
g 0.0077713220259518255
è 0.0024081551973584242
k 0.00067030204067773051
… 3.9560310512050467e-05
o 0.045360273708999227
ˉd 1.0026216603267232e-05
ð 3.5111280300627257e-07
s 0.061891666461064199
ˇd 1.1452452962946771e-05
w 0.00036675103141373241
{ 6.3378478312284212e-06
Ə 6.2873241053148582e-09
˙d 1.7562903165585213e-06
ə 1.3810205639590277e-07
θ2 0.0
√ 2.7696637486035016e-08
∞ 1.4549919439856329e-07
¡ 2.1533739592511665e-07
" 0.00058146618947781429
¥ 2.1288920293407667e-08
‰ 1.7130704646278507e-07
₩ 6.0175709258789065e-10
* 0.00042762062579337993
. 0.0078157326238602037
± 7.8541730318430284e-07
˝d 6.241708190199829e-07
2 0.002131836279495015
Ʒ 3.9425464686792842e-10
6 0.00067526923533851684
: 0.0012866248075629216
½ 3.2589827203583924e-07
> 2.6420361356738068e-05
B 0.00090740248759489997
F 0.00080440715350513746
É 0.00034328730020729447
J 0.00062747793009919274
N 0.00088959831625125719
R 0.0010736958814862065
̑d 1.8675220114796609e-09
V 0.00048398006458723331
≥ 5.1348368483254772e-08
Z 7.1935270144526034e-05
^ 6.2929415803909079e-05
b 0.0063508023681352402
f 0.0077871856072213464
é 0.018947117320913136
j 0.0026092886095901058
.d 5.4374840357424303e-07
n 0.057671195159166196
r 0.05280657815934936
v 0.010514745353757109
ù 0.00014935376965441371
´d 5.9901663505551684e-05
z 0.00085407955616090476
~ 3.772196373609293e-05
‑ 1.7305017234557973e-06
ʒ 9.5177978540004064e-09
˘d 3.244236192278735e-06
’ 0.0014947891482644624
~d 9.6249815046854504e-06
¨d 0.00015057906395461479
© 1.0879386677397013e-05
! 0.00064587743878986143
¢ 6.2723717094833576e-08
% 0.00021072504324933747
) 0.001630344027842516
” 7.0790971381019143e-06
ª 2.5569320465686342e-07
- 0.0024970635370147962
® 9.3434707619269235e-07
1 0.0027055181192009664
ĳ 2.0750244571996232e-09
5 0.00082062861590205918
˛d 2.0031531254435347e-06
9 0.0015131817685317761
ẞ 2.6975317943595105e-10
= 4.9207097020798118e-05
¾ 5.3353398096015945e-08
A 0.0019303136686151837
‡ 3.4811843226193743e-08
E 0.0020109225793394515
ˋd 3.0854162164265773e-05
I 0.0013348551975520928
ŋ 2.7958200873959197e-08
M 0.0014833794735675319
Q 0.00019019428454758523
œ 8.2692960650307024e-05
U 0.00070600576008144744
Y 9.9759424175359366e-05
] 0.00011865932545786754
Þ 6.4906296546222167e-08
a 0.057908498123665705
,d 1.2503085847392359e-06
e 0.11067530790125051
æ 1.593167576665165e-06
i 0.058050479960278144
} 8.6107226055935365e-06
m 0.02136645923903133
q 0.0068549578159028063
u 0.042179103538196781
y 0.0023074814137815092
˵d 2.1372751909156122e-09
^d 0.0018602664536864866
ſ 1.6807698103316947e-08
þ 6.7620698064320132e-08
