letter frequency
/d 0.0
İ 0.0
— 0.00011775553894506817
‘ 1.3328013299581902e-06
“ 1.8173946546677312e-05
-d 0.0
£ 0.0
$ 4.4363626440527431e-06
§ 0.0
( 0.00030305544974753771
« 0.00059461309748533471
, 0.0045061832114644644
0 0.0032005799562804475
Ĳ 0.0
4 0.0012759448826447685
· 8.8537999206818157e-07
8 0.00094466403787531324
» 0.00058443595891840628
_d 0.0
< 0.0
¿ 0.0
@ 0.0065308853485146591
‹ 0.0
D 0.0038691543633098307
H 0.0023323696281554651
Ŋ 0.0
L 0.0047258358261705021
¸d 7.2390305104496765e-05
P 0.0056367867093011954
Œ 0.0
T 0.0048608247915847072
× 0.0
X 0.00057457787639424694
\ 8.8537999206818157e-07
ß 8.8537999206818157e-07
≤ 0.0
≠ 0.0
º 1.3328013299581902e-06
d 0.023466912674804375
ç 0.00049529378502744133
h 0.011488159584189143
l 0.03306009639814033
p 0.018806996314096266
t 0.049559698865256435
°d 0.0
x 0.0026759281283324889
| 5.7597012902990987e-06
C 0.0049180795118572741
– 2.0811161155458184e-05
# 0.011483643805685324
‚ 0.0
¤ 0.0
' 0.0046070112029093849
space 0.15119618882208147
› 0.0
+ 0.00049202935809024566
Æ 0.0
€ 1.3299625248446394e-05
/ 0.0090206697511775302
ı 0.0
° 2.3933647836976406e-05
3 0.0014818734884087378
7 0.00085413763695898625
; 0.00076047661147399563
„ 0.0
¼ 0.0
? 2.2181813220263715e-06
≃ 0.0
÷ 0.0
G 0.0023307354580201392
† 0.0
K 0.0010628900358025392
O 0.0036838707026713522
Ð 0.0
S 0.0040582782375185164
W 0.00080667723668464248
[ 0.00038028490061885173
_ 0.00080114052752658295
à 0.0027075368529030116
c 0.025357069354444799
g 0.0077971369275918268
è 0.0015628904890248321
k 0.0027522413349005538
& 0.00068942857038316915
˘d 0.0
ˉd 1.7707599841363631e-06
ð 0.0
s 0.049708313498385531
ˇd 0.0
w 0.0016315798456113658
{ 8.8537999206818157e-07
‰ 0.0
Ə 0.0
˙d 2.2181813220263715e-06
ə 0.0
θ2 0.0
√ 0.0
∞ 0.0
¡ 0.0
" 0.0018650510960965892
¥ 0.0
… 0.00023567873099351563
₩ 0.0
* 1.7316954605744636e-05
. 0.0081156994830961018
± 0.0
˝d 0.0
2 0.0031563150689538823
Ʒ 0.0
6 0.0016346467943206358
: 0.0050120661819219245
½ 0.0
> 0.0
B 0.0030926557478252008
F 0.0039690873131355822
J 0.0031884701529196458
N 0.0046481455779441294
R 0.0054808571782497765
̑d 0.0
V 0.001751833334112971
≥ 0.0
Z 0.00072472754265792065
^ 0.0
b 0.0071341522914327047
f 0.010036571680648067
é 0.010826227384295303
j 0.0033569558694831218
.d 0.0
n 0.044531023793990356
r 0.047479623644918922
v 0.012697602427258221
ù 3.3206481044412725e-05
´d 0.00011973447797086492
z 0.0030299883724694641
~ 1.3328013299581902e-06
‑ 0.0
ʒ 0.0
o 0.046639012096317607
’ 0.0013045905490834642
~d 1.7707599841363631e-06
¨d 8.6937567529494833e-05
© 1.7707599841363631e-06
! 0.0071804224274629302
¢ 0.0
% 5.2741616972183733e-05
) 0.0006308961888661169
” 1.8173946546677312e-05
ª 0.0
- 0.0021106784241745388
® 1.3328013299581902e-06
1 0.0035113429830895119
ĳ 0.0
5 0.0015476551258923037
˛d 0.0
9 0.001073242853083148
ẞ 0.0
= 4.1269527810144719e-05
¾ 0.0
A 0.0048401823227192638
‡ 0.0
E 0.0041806120793633147
ˋd 6.7355118183164652e-05
I 0.0033823601466288892
ŋ 0.0
M 0.0049878842269917801
Q 0.0010481751202741617
œ 7.5799347500803791e-05
U 0.0018513811880533589
Y 0.00075830574357052853
] 0.00038117028061091993
Þ 0.0
a 0.052288909818492872
,d 0.0
e 0.093508466787502464
æ 8.8537999206818157e-07
i 0.047460953526542379
} 0.0
m 0.018070021140098716
q 0.0046749676216298738
u 0.040423770684447136
y 0.0041042585458003593
˵d 0.0
^d 0.0016275773293446469
ſ 0.0
þ 0.0
