letter frequency
/d 0.0
İ 0.0
— 9.3721208080533807e-05
‘ 1.1792823093468415e-06
“ 1.5057131133553299e-05
-d 0.0
£ 0.0
$ 3.7679060935889284e-06
§ 0.0
( 0.00024830497791600655
« 0.00047526509565006051
, 0.0037870932935786124
0 0.0037485136507681648
Ĳ 0.0
4 0.0021551696510713359
· 7.0467073744762276e-07
8 0.0018618780265105203
» 0.00046728365837258836
_d 0.0
< 0.0
¿ 0.0
@ 0.0055192830861746835
‹ 0.0
D 0.0044971171984291569
Ç 6.3422199057576239e-05
H 0.0031111399692191938
Ŋ 0.0
L 0.0051291705326889075
¸d 0.0
P 0.0059550251504474072
Œ 0.0
T 0.005260848342482906
× 0.0
X 0.0015727437928576688
\ 7.0467073744762276e-07
ß 7.0467073744762276e-07
≤ 0.0
≠ 0.0
º 1.1792823093468415e-06
d 0.020823312025371424
ç 0.0004144678376074919
h 0.01781807906925767
l 0.028798014134163118
p 0.023777067195648181
t 0.063438855497872357
°d 0.0
x 0.0033421668530418166
| 4.7026359965849552e-06
C 0.0051511402666551374
– 1.6682038533194539e-05
# 0.0098385373958406099
‚ 0.0
& 0.00057490453926729173
¤ 0.0
' 0.0039102369219998359
space 0.1273184307855105
› 0.0
+ 0.00040772182291528604
Æ 0.0
€ 1.1059165874415969e-05
/ 0.028295274697128892
ı 0.0
° 1.9759767130138257e-05
3 0.0024070451277715676
7 0.0018237388472435341
; 0.00063690290360917008
„ 0.0
¼ 0.0
? 1.8839530467944642e-06
À 4.8665760606293202e-05
≃ 0.0
÷ 0.0
G 0.0031354937571686585
† 0.0
È 6.6010822841818299e-06
K 0.0020746977526561535
O 0.0043075046297798266
Ð 0.0
S 0.0045675479549431523
W 0.0017364176487632387
[ 0.00030302291034328016
_ 0.00066433791727263988
à 0.0022447497941719989
c 0.029412903487568615
g 0.0076147313078823728
è 0.0013042207621677174
k 0.0035236099087982815
… 0.00020828551097680636
o 0.047478446440148613
ˉd 1.4093414748952455e-06
ð 0.0
s 0.048873032804507305
ˇd 0.0
w 0.002442501561317856
{ 7.0467073744762276e-07
Ə 0.0
˙d 1.8839530467944642e-06
ə 0.0
θ2 0.0
√ 0.0
∞ 0.0
¡ 0.0
" 0.0015508718462024782
¥ 0.0
‰ 0.0
₩ 0.0
* 1.5086117615158123e-05
. 0.013797942666955129
± 0.0
˝d 0.0
2 0.0037509954920624373
Ʒ 0.0
6 0.0024882651766466057
: 0.011068270117211832
½ 0.0
> 0.0
B 0.0037749473029015336
F 0.0044720242551987699
É 9.0386266523727037e-05
J 0.0038442569183269131
N 0.0050325909955682762
R 0.0058614290517297425
̑d 0.0
V 0.002567411195914646
≥ 0.0
Z 0.0017414662898517913
^ 0.0
b 0.0071957349214254425
f 0.0096629056248733556
é 0.0089692170804339614
j 0.0039839754662763247
.d 0.0
n 0.038344541463580038
r 0.040977871529602389
v 0.011946859767382559
ù 2.654742885746126e-05
´d 1.0124435971419944e-05
z 0.0036864268308092192
~ 1.1792823093468415e-06
‑ 0.0
ʒ 0.0
˘d 0.0
’ 0.0010489848545461348
~d 1.4093414748952455e-06
¨d 7.3459675584181699e-05
© 1.4093414748952455e-06
! 0.0063023290452983525
¢ 0.0
% 4.3517499519413853e-05
) 0.00053908411027117251
” 1.5057131133553299e-05
ª 0.0
- 0.0017232498004808314
® 1.1792823093468415e-06
1 0.0040437218802319578
ĳ 0.0
5 0.0023540552198593246
˛d 0.0
9 0.002020358308919514
ẞ 0.0
= 3.6514271867344856e-05
¾ 0.0
A 0.0049976398245052626
‡ 0.0
E 0.0045128263571412993
ˋd 0.0
I 0.0040430355363674135
ŋ 0.0
M 0.0053131189181593805
Q 0.0020287745434210583
œ 6.2817148318455301e-05
U 0.0026880476619345721
Y 0.0017553151521943931
] 0.0003037275810807277
Þ 0.0
a 0.045138380844892773
,d 0.0
e 0.079803863878568151
æ 7.0467073744762276e-07
i 0.040977327948943536
} 0.0
m 0.016365278236063738
q 0.0050204826500366987
u 0.035216061107045026
y 0.0045887623759578843
˵d 0.0
^d 0.0013681483919660879
ſ 0.0
þ 0.0
