e s 0.025093
e n 0.022647
l e 0.021136
a i 0.020845
d e 0.020469
r e 0.019866
n t 0.019535
o n 0.018642
q u 0.016595
o u 0.016471
i t 0.016033
a n 0.014243
e r 0.013739
t e 0.013592
u r 0.013361
i s 0.012430
m e 0.011577
e t 0.011361
u e 0.010705
s e 0.010171
l a 0.009833
n e 0.009779
i n 0.009726
c e 0.008980
t i 0.008930
i e 0.008810
n s 0.008747
c o 0.008529
r a 0.008446
e u 0.008362
p a 0.008068
u s 0.007877
u n 0.007865
i l 0.007748
t r 0.007641
a r 0.007496
e l 0.007475
u i 0.007121
e m 0.007074
t a 0.007018
a u 0.007008
i r 0.006677
v e 0.006428
p o 0.006349
o i 0.006251
u t 0.006239
s t 0.006121
m a 0.006110
r i 0.005964
s i 0.005848
s o 0.005828
p r 0.005812
s a 0.005602
a t 0.005471
r o 0.005301
o r 0.005278
a v 0.005276
n d 0.005271
e , 0.005226
a s 0.005098
i o 0.005083
c h 0.004991
o m 0.004964
l i 0.004888
p e 0.004821
' a 0.004690
v a 0.004607
l u 0.004332
l ' 0.004274
d ' 0.004211
n c 0.004157
d i 0.004121
v o 0.003982
' e 0.003929
r t 0.003874
a l 0.003843
r s 0.003738
m o 0.003719
é t 0.003713
s , 0.003713
p l 0.003702
t é 0.003670
n o 0.003613
t o 0.003583
r é 0.003553
d a 0.003549
u ' 0.003499
s u 0.003314
e c 0.003193
d u 0.003130
n a 0.003116
c i 0.003011
f a 0.002951
u x 0.002895
a c 0.002840
^d e 0.002809
' i 0.002795
l o 0.002778
v i 0.002772
i c 0.002762
m p 0.002728
g e 0.002723
é e 0.002688
d é 0.002675
n i 0.002672
e . 0.002661
b l 0.002659
h e 0.002654
u v 0.002507
m i 0.002436
j e 0.002423
c t 0.002419
c a 0.002369
d o 0.002361
o s 0.002329
h a 0.002301
i m 0.002237
u l 0.002107
t s 0.002098
é s 0.002093
a m 0.002085
f o 0.002078
b r 0.002068
t , 0.002054
é r 0.002021
a p 0.002004
f i 0.001975
o t 0.001964
a g 0.001951
o l 0.001895
s . 0.001876
i q 0.001779
t u 0.001767
r d 0.001766
o c 0.001757
i v 0.001748
' u 0.001715
e v 0.001688
a b 0.001670
é c 0.001664
n ' 0.001654
g r 0.001566
b i 0.001562
m b 0.001551
r c 0.001549
' é 0.001523
r m 0.001510
o p 0.001505
c r 0.001495
è r 0.001443
d r 0.001417
c u 0.001408
e z 0.001398
j o 0.001385
e x 0.001376
i g 0.001338
r , 0.001333
i b 0.001327
i d 0.001290
s é 0.001254
i a 0.001248
n é 0.001243
u a 0.001243
e a 0.001240
l s 0.001239
n u 0.001237
p u 0.001224
g i 0.001200
s ' 0.001196
n g 0.001178
h o 0.001171
n , 0.001147
é p 0.001144
i f 0.001132
f e 0.001116
u c 0.001107
e i 0.001107
s p 0.001099
' o 0.001093
u p 0.001082
b o 0.001073
b e 0.001070
e p 0.001045
g a 0.001038
n f 0.000986
t - 0.000984
m ^d 0.000981
l é 0.000964
r n 0.000955
a d 0.000945
i è 0.000932
p i 0.000932
g n 0.000915
r g 0.000909
t . 0.000904
è s 0.000900
o g 0.000890
v r 0.000885
i , 0.000858
c l 0.000849
c ' 0.000842
p é 0.000833
r u 0.000825
u d 0.000817
b a 0.000814
f r 0.000811
o b 0.000802
r è 0.000786
n v 0.000781
m é 0.000777
s q 0.000745
r . 0.000741
m u 0.000732
j ' 0.000729
o y 0.000727
p s 0.000725
s c 0.000719
^d u 0.000687
h i 0.000687
u m 0.000676
e f 0.000672
é g 0.000661
g u 0.000651
é l 0.000650
p t 0.000638
é , 0.000633
n . 0.000630
l q 0.000615
é m 0.000603
w a 0.000599
r v 0.000593
^d o 0.000590
u b 0.000588
r ^d 0.000584
é v 0.000580
i é 0.000571
^d i 0.000567
y e 0.000566
y a 0.000552
o d 0.000551
h é 0.000542
v é 0.000535
ç a 0.000528
a y 0.000526
^d a 0.000524
g é 0.000524
p h 0.000523
j u 0.000519
t h 0.000518
é d 0.000510
j a 0.000494
m ' 0.000491
r l 0.000491
l à 0.000488
é n 0.000488
f u 0.000458
t ^d 0.000458
' h 0.000458
o f 0.000454
y s 0.000440
f é 0.000430
u j 0.000414
x p 0.000413
c é 0.000408
f l 0.000406
e - 0.000399
e g 0.000398
g o 0.000382
l , 0.000380
d s 0.000379
a q 0.000378
u é 0.000377
é a 0.000376
s - 0.000374
i p 0.000372
a ^d 0.000369
b u 0.000365
é . 0.000350
n ç 0.000345
ç o 0.000344
é f 0.000343
- c 0.000338
a f 0.000334
x , 0.000332
è m 0.000329
l t 0.000325
- m 0.000322
v u 0.000321
u f 0.000320
u , 0.000316
l è 0.000316
' y 0.000316
e d 0.000310
i x 0.000307
x t 0.000296
u g 0.000294
. " 0.000293
l . 0.000289
) . 0.000289
i . 0.000289
h t 0.000287
é j 0.000285
" , 0.000284
e " 0.000276
b s 0.000276
x i 0.000272
g l 0.000270
i - 0.000254
u o 0.000251
h u 0.000251
- i 0.000248
m è 0.000242
n q 0.000241
r q 0.000239
- ^d 0.000235
) , 0.000234
x e 0.000231
r p 0.000230
- l 0.000225
p è 0.000225
s y 0.000225
e ) 0.000223
r f 0.000221
' ^d 0.000215
s ) 0.000214
j à 0.000212
h y 0.000208
d , 0.000208
' à 0.000207
y l 0.000206
t p 0.000205
x . 0.000205
s " 0.000201
t è 0.000201
e ^d 0.000197
r b 0.000191
a , 0.000188
a j 0.000185
- t 0.000184
é b 0.000183
p ^d 0.000183
- d 0.000180
o ^d 0.000179
c ^d 0.000175
f ^d 0.000173
o q 0.000171
g t 0.000170
- e 0.000166
d ^d 0.000166
. o 0.000165
z - 0.000164
a . 0.000159
è t 0.000158
b é 0.000157
e b 0.000153
c è 0.000152
s m 0.000152
w . 0.000152
x c 0.000152
h n 0.000148
- v 0.000148
f s 0.000147
/ w 0.000147
a ç 0.000146
o v 0.000146
l y 0.000144
r y 0.000144
à , 0.000141
d è 0.000139
u . 0.000136
è c 0.000136
o j 0.000135
é o 0.000135
- p 0.000134
y o 0.000133
é q 0.000133
h r 0.000131
b j 0.000131
h è 0.000130
l b 0.000128
x a 0.000125
" . 0.000122
a - 0.000121
t y 0.000119
d m 0.000119
( c 0.000119
( e 0.000118
l g 0.000114
s ^d 0.000113
y , 0.000113
c . 0.000112
d . 0.000108
n r 0.000108
n - 0.000106
ç u 0.000104
( p 0.000103
y p 0.000103
e q 0.000100
è v 0.000095
s f 0.000095
h ^d 0.000094
n ^d 0.000093
è g 0.000093
o e 0.000092
c k 0.000091
g / 0.000091
u y 0.000090
y é 0.000088
n j 0.000087
g è 0.000086
l h 0.000086
r ç 0.000085
c , 0.000085
t c 0.000084
e j 0.000084
u h 0.000084
è l 0.000082
t ) 0.000082
t " 0.000082
o - 0.000082
t m 0.000081
a h 0.000080
y m 0.000078
. ) 0.000077
u - 0.000077
y . 0.000076
z , 0.000075
n h 0.000075
" l 0.000075
è n 0.000075
u q 0.000075
. f 0.000074
f t 0.000074
é u 0.000074
e h 0.000073
d - 0.000072
( s 0.000071
l ^d 0.000070
ˇd i 0.000070
k i 0.000070
c s 0.000069
l m 0.000069
" p 0.000069
m y 0.000069
( l 0.000069
r " 0.000068
( d 0.000067
e o 0.000067
' m 0.000067
" c 0.000067
l d 0.000067
w e 0.000066
w s 0.000065
k e 0.000064
r - 0.000064
v ^d 0.000064
s / 0.000064
à - 0.000063
x - 0.000063
l c 0.000062
o w 0.000062
z e 0.000062
e ç 0.000061
f . 0.000060
m s 0.000060
x é 0.000060
n ) 0.000060
n " 0.000059
. c 0.000059
. » 0.000058
. h 0.000058
