letter frequency
ª 2.5363810550949915e-07
İ 1.5906869970958083e-07
— 5.8573709789569605e-05
‘ 2.016579852636182e-06
“ 6.9528541013686467e-06
-d 1.1861276640314633e-09
£ 1.7211815062971195e-07
$ 7.542541986110475e-06
§ 2.3158653147434771e-06
( 0.0014715860769673153
« 0.00036498242152989933
, 0.0089846235060225665
0 0.0028186952907733511
Ĳ 1.1115072353009651e-09
4 0.00077366200570420744
· 9.5993508054372478e-06
8 0.0007622144493819198
» 0.00036866820436929807
_d 4.044139957589734e-08
< 5.1885237778033486e-06
¿ 1.8328672209056769e-07
@ 3.573903401673129e-05
‹ 1.4555939319729455e-07
D 0.0011701416459511599
Ç 6.2794441335512527e-06
H 0.00040329885990402777
Ŋ 2.6758507516504713e-09
L 0.0024863482128512472
¸d 1.6947335216308276e-06
P 0.0015432394533984907
Œ 8.5558962210886666e-07
T 0.0010552916211235143
× 2.4282036201829319e-06
X 6.8578533256997702e-05
\ 6.7991625027124129e-06
ß 7.1239087585873713e-07
≤ 7.1168631019407449e-08
≠ 2.0570386377556035e-08
º 2.3347378227965053e-05
d 0.030903775910569063
ç 0.00039185769128463708
h 0.0056095831842352568
l 0.040040545862864263
p 0.022029829543202106
t 0.054578247880723657
°d 3.0011831192584734e-06
x 0.0031638804565352896
| 0.00019078034792504716
C 0.0027992526658773206
– 4.9201459720970254e-05
# 3.7845508335580451e-05
‚ 1.8127636920683221e-08
& 8.6606905688355331e-05
¤ 1.4350955868466116e-07
space 0.16407285804137398
› 1.7271620864526418e-05
+ 6.2943002649076159e-05
Æ 2.2060508731538563e-07
€ 1.4011710068108414e-05
/ 0.00053620410352974758
ı 6.9828648604538662e-07
° 6.9956680592652391e-05
3 0.00093386564165610399
7 0.00067332184210486365
; 0.00046545018059401957
„ 2.8172045713478494e-07
¼ 3.6641678030017784e-08
? 0.00043703051785184423
À 5.0281012418983006e-05
≃ 3.2110209019805667e-09
÷ 5.6133215744599687e-08
G 0.00059646594761135821
† 2.3527130276343843e-06
È 1.738503264161106e-05
K 0.00019980264849881564
O 0.00082874735945420524
Ð 1.4621807199516553e-08
S 0.0016711100173275632
W 0.00017230132827539794
[ 8.6037062201296132e-05
_ 0.00028604234243789729
à 0.0032742151868310585
c 0.025296192278335215
g 0.007708861088474587
è 0.0023887999794540075
k 0.00066491457973944716
… 3.9242349929124978e-05
o 0.044995696715454656
ˉd 9.9456322591493822e-06
ð 3.4829078189290267e-07
s 0.061394220660172534
ˇd 1.1360405439231909e-05
w 0.00036380332017922851
{ 6.2869082464570492e-06
Ə 6.2367905980776382e-09
˙d 1.742174373442523e-06
ə 1.3699208001334952e-07
θ2 0.0
√ 2.7474029551816373e-08
∞ 1.443297645314225e-07
¡ 2.1360665106877507e-07
¥ 2.1117813509392811e-08
‰ 1.6993018951582158e-07
₩ 5.9692055229125908e-10
* 0.00042418368352249437
. 0.0077529147422787294
± 7.7910461907419777e-07
˝d 6.1915413146389759e-07
2 0.0021147019370857598
Ʒ 3.9108587908737669e-10
6 0.00066984185125278073
: 0.0012762837367137816
½ 3.2327890926518154e-07
> 2.6208011317282957e-05
B 0.00090010936425564242
F 0.00079794184107135323
É 0.00034052817550195172
J 0.0006224346620903018
N 0.00088244829150312945
R 0.0010650661977465387
V 0.00048009014103838769
≥ 5.0935662997279504e-08
Z 7.1357100253238438e-05
b 0.0062997586630459757
f 0.0077245971683801793
é 0.018794832457873955
j 0.0025883168094048324
.d 5.3937810017855544e-07
n 0.057207670818900151
r 0.05238215251262112
v 0.010430234526649844
ù 0.00014815335916605388
´d 0.0074201482453096568
z 0.0008472150085871707
̑d 1.8525120588349421e-09
‑ 1.7165930526283538e-06
ʒ 9.4412998560157062e-09
˘d 3.2181610877739136e-06
’ 0.0014827749850088914
~d 4.6966400646622246e-05
¨d 0.00072616153986960683
© 1.0791945095542817e-05
! 0.00064068628724737065
¢ 6.2219583800817817e-08
% 0.00020903136954654518
) 0.0016172403607895491
” 7.0221998634475259e-06
/d 2.7376011536116353e-09
- 0.0024769937304952201
® 9.2683738940925684e-07
1 0.0026837728874987386
ĳ 2.0583467320388246e-09
5 0.00081403292568375135
˛d 1.987053056277975e-06
9 0.0015010197771073654
ẞ 2.6758507516504718e-10
= 4.8811601711224199e-05
¾ 5.2924577458865051e-08
A 0.0019147990366176679
‡ 3.4532047799372223e-08
E 0.001994760064251254
ˋd 3.0606176057472222e-05
I 0.001324126481542508
ŋ 2.7733490659798364e-08
M 0.0014714570140112156
Q 0.00018866562400874983
œ 8.2028327293493598e-05
U 0.00070033133538359611
Y 9.8957621453071683e-05
] 0.00011770561736498906
Þ 6.4384621068495947e-08
a 0.057443066493291325
,d 1.2402594005620963e-06
e 0.10978577025707503
æ 1.5803627102518913e-06
i 0.057583907170318575
} 8.5415151008078954e-06
m 0.021194729246350241
q 0.0067998620303828684
u 0.041840094764638389
y 0.0022889353476379633
˵d 2.1200971339999894e-09
^d 0.0019077384458294573
ſ 1.6672608529514478e-08
þ 6.7077205955788525e-08
