letter frequency
ª 1.1033461908577855e-07
0 0.0043559483671833359
o 0.043486602421163874
Α 1.1515848436781645e-07
Ε 7.3846507053882212e-08
— 6.3488518674188749e-05
Ι 5.2605920618031948e-08
‘ 2.407631909566851e-06
Ν 4.1844568990287053e-08
“ 8.8604197483990008e-06
Ρ 2.4432424940244866e-08
-d 1.0622793452280376e-09
£ 2.6551525144312332e-07
Υ 2.1568889313977975e-08
$ 6.8488615108752426e-06
§ 1.9471579808650902e-06
Ω 4.5377802464632486e-08
( 0.0018131913089799035
« 0.00068743138219635688
˙d 5.4761178919533675e-07
α 9.0476778259004804e-07
‰ 2.0614895936868913e-07
Ĳ 1.2470235791807398e-09
ε 4.9585401594969021e-07
4 0.0015681892499759239
· 7.4570486329903994e-06
ι 5.796794632076394e-07
8 0.0016920201324240418
» 0.00067793863535660923
_d 4.3761290417546318e-08
ν 3.8471501823722746e-07
< 2.6024156910435389e-06
¿ 1.4769477176481613e-07
ρ 3.6307431841000781e-07
@ 6.751213370075235e-06
υ 2.8027596006938865e-07
Ç 5.1491228287431594e-06
ω 1.8863457596887923e-07
Ŋ 3.0020938017314105e-09
¸d 9.7900179956008098e-07
9 0.0022035569006524968
Œ 2.1659562483068929e-06
× 2.6008989467796423e-06
ǝ 1.2100747323901997e-08
\ 8.1592100785792351e-06
ß 6.895187205702866e-07
≤ 6.4503955912063996e-08
≠ 1.752760919626262e-08
˝d 2.7819713116935631e-07
ç 0.00030413740244771464
h 0.0068446683365743586
l 0.040142080835645452
p 0.02115678109617166
t 0.053865267374637052
÷ 5.5243525613766935e-08
x 0.0033712220626803684
| 0.00013789922809271377
: 0.0021382756901573248
Ǝ 2.5171401876055678e-09
– 5.018685661671146e-05
Β 2.6695541806165463e-08
Ζ 7.2281181533994731e-09
Κ 5.9372178186549677e-08
Ξ 6.0503736619509984e-09
# 3.870980635229939e-05
‚ 1.2506138385454688e-08
¤ 1.2341803679786832e-07
Φ 3.0239488383681203e-08
+ 2.9227802649478484e-05
ˋd 8.6578799774865326e-06
€ 2.507666690911165e-05
/ 0.00045924852986232111
ı 7.0325259529994727e-07
° 7.6681730940389968e-05
3 0.0023595216027538909
β 2.1958581239302249e-07
7 0.0011756864008383868
ζ 4.5839663049514231e-08
; 0.00048076812615286687
κ 2.2353972086247202e-07
¼ 4.1843388862074119e-08
? 0.00030608122763354964
ξ 3.528614868496612e-08
À 4.2764201780524593e-05
≃ 3.6025125620776933e-09
„ 1.170536271518786e-07
°d 1.8013438169688316e-06
φ 1.2636005555493778e-07
