letter frequency
ª 0.0
— 1.5460163095425824e-07
‘ 0.0
“ 8.881506006540155e-07
-d 0.0
£ 0.0
$ 0.00025771160065257167
§ 0.0
( 0.016837524204786153
« 0.0
˙d 0.0
‰ 0.0
Ĳ 0.0
· 0.0
» 0.0
_d 0.0
< 0.0015770234423384511
¿ 0.0
@ 0.00055579498533373179
Ŋ 0.0
¸d 0.0
Œ 0.0
× 0.0
\ 0.0015600870621611303
ß 0.0
d 0.021042755229034992
≠ 0.0
º 0.0
˝d 0.0
ç 0.0
h 0.012819108875323854
l 0.028236318857844014
p 0.020052149168358062
t 0.061898988407153827
°d 0.0
x 0.0063466798083552569
ˉd 0.0
– 2.6644518019620465e-06
# 0.0010466535966043259
‚ 0.0
¤ 0.0
space 0.22782670776308772
› 5.9934821008316264e-07
+ 0.0018218545539223864
Æ 0.0
/ 0.00081811245214064021
ı 0.0
° 0.0
; 0.014546500271975604
„ 0.0
¼ 0.0
? 0.0003469024231994572
≃ 0.0
÷ 0.0
† 0.0
Ð 0.0
[ 0.0023487747610558599
_ 0.011611054768323265
à 0.0
c 0.024606686265974211
g 0.013214519495422026
è 0.0
k 0.0055780583603436762
… 1.5460163095425824e-07
˘d 0.0
| 0.0005555920242052044
ð 0.0
s 0.039312211379793738
ˇd 1.8552195714510988e-06
w 0.0059125077591341071
{ 0.0056440345182143222
Ə 0.0
, 0.011498985278538879
θ2 0.0
√ 0.0
∞ 2.9967410504158132e-07
¡ 0.0
¥ 0.0
& 0.0010016473457377232
₩ 0.0
* 0.0016821961009856961
. 0.018503963199538571
± 0.0
İ 0.0
Ʒ 0.0
: 0.010789178385387519
½ 0.0
> 0.0026327143416416325
̑d 0.0
≥ 0.0
b 0.011066914839300007
f 0.01731775733695853
é 3.0920326190851649e-07
j 0.0023107930211384731
.d 0.0
n 0.042883886982099821
r 0.047928409806587843
v 0.0068490228828045324
ù 1.5460163095425824e-07
´d 6.1840652381703298e-07
z 0.0019193428101349531
≤ 0.0
‑ 0.0
ʒ 0.0
o 0.040891030367340181
’ 0.0
~d 4.9586472570186653e-05
¨d 4.6380489286277471e-07
© 0.0
! 0.00068266949750972049
¢ 0.0
% 0.0017218364755878788
) 0.016823765903456623
” 8.881506006540155e-07
/d 0.0
- 0.011391601769050037
® 0.0
ĳ 0.0
˛d 0.0
‹ 0.0
ẞ 0.0
= 0.010005390424921127
¾ 0.0
‡ 0.0
ˋd 1.7583624849012681e-05
ŋ 0.0
œ 0.0
ə 0.0
] 0.0023482021679745858
Þ 0.0
a 0.043952146015718466
,d 0.0
e 0.073790027725829946
æ 0.0
i 0.044398500201389593
} 0.0056382107283036312
m 0.016972378748454156
q 0.0013220711125898777
u 0.02011785060054402
y 0.0070830531673405301
˵d 0.0
^d 2.5920416516394677e-05
ſ 0.0
þ 0.0
