letter frequency
ª 2.6844025197688643e-07
— 6.199203145579485e-05
‘ 2.1342660744361042e-06
“ 7.3586179142156822e-06
-d 1.2553492637463219e-09
£ 1.8216284825193655e-07
$ 7.9827195808396071e-06
§ 2.4510176315403359e-06
( 0.0015574668345407167
« 0.00038628254617266487
˙d 1.8438464790420465e-06
‰ 1.798471992229843e-07
Ĳ 1.1763740378006764e-09
· 1.015956235696452e-05
» 0.00039018342877921483
_d 4.2801532012094497e-08
< 5.4913224789460306e-06
¿ 1.9398320990915489e-07
@ 3.7824739613119998e-05
Ŋ 2.8320115724831091e-09
¸d 8.4395452125207825e-06
Œ 9.0552124763095394e-07
× 2.5699119236982396e-06
\ 7.1959569789152299e-06
ß 7.5396552043080993e-07
d 0.032707299148943145
≠ 2.1770860066001593e-08
º 2.4709915262633468e-05
˝d 6.5528754336352772e-07
ç 0.00041472623830014142
h 0.0059369546245290859
l 0.042377284750365764
p 0.023315475337216444
t 0.057763397120980789
°d 3.176330114689136e-06
x 0.0033485223573603436
ˉd 1.0526052559620314e-05
– 5.2072823279439121e-05
# 4.0054146333371398e-05
‚ 1.9185553420526818e-08
¤ 1.5188467843590415e-07
space 0.16524728883315781
› 1.8279580852448373e-05
+ 6.6616313260024082e-05
Æ 2.3347944942013965e-07
/ 0.00056749660849826525
ı 7.3903800806877553e-07
° 7.403930465430344e-05
; 0.00049261353498268622
„ 2.9816147044779525e-07
¼ 3.8780061314034451e-08
? 0.00046253532014866965
≃ 3.3984138869797322e-09
÷ 5.9409111846519975e-08
† 2.4900157517689093e-06
Ð 1.5475125873184995e-08
[ 9.1058126342147784e-05
_ 0.00030273557802304376
à 0.0034652961470986866
c 0.026772460768903508
g 0.0081587449523330084
è 0.0025282087134300846
k 0.00070371854012163805
… 4.1532506647527129e-05
˘d 3.4059707691354226e-06
| 0.00020191415862519011
ð 3.6861679385574832e-07
s 0.064977145412892442
ˇd 1.2023390935447564e-05
w 0.00038503463327312423
{ 6.6538079144077585e-06
Ə 6.6007654343260171e-09
, 0.0095089599925427103
θ2 0.0
√ 2.9077395137040246e-08
∞ 1.5275275093524432e-07
¡ 2.2607258921784267e-07
¥ 2.235023467106757e-08
& 9.1661225505604643e-05
₩ 6.3175642770777066e-10
* 0.00044893875334910078
. 0.0082053695472610114
± 8.245726320992451e-07
İ 1.683518402958437e-07
Ʒ 4.1390938367060838e-10
: 0.0013507667832056826
½ 3.4214524543792671e-07
> 2.7737492943705361e-05
̑d 1.9606233963344608e-09
≥ 5.390823347356771e-08
b 0.0066674082725251245
f 0.0081753993791057519
é 0.01989168603321749
j 0.0027393692092003985
.d 5.708558374219645e-07
n 0.060546271384530552
r 0.055439139128300591
v 0.011038935884210207
ù 0.00015679948793919767
´d 0.00042328910210430557
z 0.00089665789738846088
≤ 7.5321983679555193e-08
‑ 1.8167722498308529e-06
ʒ 9.9922876621678592e-09
o 0.047621614819701626
’ 0.0015693087196076052
~d 4.9707327685249957e-05
¨d 0.0001580858667114972
© 1.1421755634662475e-05
! 0.00067807630104057398
¢ 6.5850676182262407e-08
% 0.00022123029739333372
) 0.0017116214028072305
” 7.4320106475693319e-06
/d 2.1784704403716231e-10
- 0.0026215493914986776
® 9.8092698593075766e-07
ĳ 2.178470440371623e-09
˛d 2.1030161144249872e-06
‹ 1.5405413988956426e-07
ẞ 2.8320115724831102e-10
= 5.1660213422725304e-05
¾ 5.6013219623641686e-08
‡ 3.6547314505131391e-08
ˋd 0.0001040073207701594
ŋ 2.9351998217933702e-08
œ 8.681544440523058e-05
ə 1.4498684416424992e-07
] 0.00012457483673867484
Þ 6.8142063545006693e-08
a 0.060795404589578363
,d 1.3126400914200265e-06
e 0.11619279276702393
æ 1.6725915977913052e-06
i 0.060944464632247598
} 9.0399920836791604e-06
m 0.02243163915785935
q 0.0071966973305423827
u 0.044281854095995429
y 0.0024225160499620796
˵d 2.243824553582772e-09
^d 0.002019072757524889
ſ 1.7645610567010144e-08
þ 7.0991785845849635e-08
