letter frequency
ª 0.0
İ 0.0
— 9.3212056975552627e-05
‘ 1.172875724293299e-06
“ 1.4975331558926525e-05
-d 0.0
£ 0.0
$ 3.7474365158881415e-06
§ 0.0
( 0.00024695603292834034
« 0.00047268316405138457
, 0.0037665194792351666
0 0.0037281494247150219
Ĳ 0.0
4 0.0021434614472214458
· 7.0084253365077176e-07
8 0.0018517631627144474
» 0.00046474508683821796
_d 0.0
< 0.0
¿ 0.0
@ 0.0054892989540920598
‹ 0.0
D 0.0044726860985990899
Ç 6.3077650759577836e-05
H 0.0030942383480651228
Ŋ 0.0
L 0.0051013057313505448
¸d 0.0
P 0.0059226738001219225
Œ 0.0
T 0.0052322681864907647
× 0.0
X 0.0015641996836172323
\ 7.0084253365077176e-07
ß 7.0084253365077176e-07
≤ 0.0
≠ 0.0
º 1.172875724293299e-06
d 0.020710187018297518
ç 0.00041221619401668713
h 0.017721280331463349
l 0.028641565652352329
p 0.023647895578211568
t 0.06309421671187071
°d 0.0
x 0.0033240101521081764
| 4.6770883925471578e-06
C 0.0051231561122423303
– 1.6591411464610276e-05
# 0.0097850884242675334
‚ 0.0
& 0.00057178130507706327
¤ 0.0
space 0.13205937250363747
› 0.0
+ 0.0004055068278153096
Æ 0.0
€ 1.099908570003014e-05
/ 0.02814155740439607
ı 0.0
° 1.9652419951473686e-05
3 0.0023939685817939344
7 0.0018138311788695493
; 0.00063344285626471333
„ 0.0
¼ 0.0
? 1.8737182579440707e-06
À 4.840137833578137e-05
≃ 0.0
÷ 0.0
G 0.0031184598312961687
† 0.0
È 6.5652211551172667e-06
K 0.0020634267215320226
O 0.0042841036217595354
Ð 0.0
S 0.0045427342320308794
W 0.001726984362715358
[ 0.00030137670397445789
_ 0.0006607288261011987
à 0.0022325549360228502
c 0.029253114549524496
g 0.0075733634153962708
è 0.0012971354347824102
k 0.0035044674978613071
… 0.00020715397628751509
o 0.047220514388664397
ˉd 1.4016850673015435e-06
ð 0.0
s 0.04860752450424282
ˇd 0.0
w 0.0024292323942388893
{ 7.0084253365077176e-07
Ə 0.0
˙d 1.8737182579440707e-06
ə 0.0
θ2 0.0
√ 0.0
∞ 0.0
¡ 0.0
¥ 0.0
‰ 0.0
₩ 0.0
* 1.5004160568178603e-05
. 0.013722983776654544
± 0.0
˝d 0.0
2 0.0037306177831246492
Ʒ 0.0
6 0.0024747473935308869
: 0.011008140482993225
½ 0.0
> 0.0
B 0.0037544394730316235
F 0.0044477294756321154
É 8.989523286743728e-05
J 0.0038233725561010678
N 0.0050052508735319691
R 0.0058295861728384192
V 0.0025534634430621891
≥ 0.0
Z 0.0017320055764879216
b 0.0071566432743859895
f 0.0096104107928391223
é 0.0089204907901860291
j 0.0039623320671736432
.d 0.0
n 0.038136230388039892
r 0.04075525458946281
v 0.011881957095125163
ù 2.6403206935721086e-05
´d 0.0038990635497353505
z 0.0036663998984554883
̑d 0.0
‑ 0.0
ʒ 0.0
˘d 0.0
’ 0.0010432861252111295
~d 2.5745607915948429e-06
¨d 0.0016155071563510076
© 1.4016850673015435e-06
! 0.0062680909271275835
¢ 0.0
% 4.3281085761843768e-05
) 0.00053615547462889073
” 1.4975331558926525e-05
/d 0.0
- 0.0017138880502639597
® 1.172875724293299e-06
1 0.004021753901951231
ĳ 0.0
5 0.0023412665475734513
˛d 0.0
9 0.0020093824829937497
ẞ 0.0
= 3.6315903939214158e-05
¾ 0.0
A 0.0049704895786744762
‡ 0.0
E 0.0044883099155227464
ˋd 0.0
I 0.0040210712867276652
ŋ 0.0
M 0.0052842547963295305
Q 0.0020177529953456972
œ 6.2475887027300963e-05
U 0.0026734445377821392
Y 0.0017457792033133029
] 0.00030207754650810861
Þ 0.0
a 0.044893161465470247
,d 0.0
e 0.079370320326284605
æ 7.0084253365077176e-07
i 0.040754713961867604
} 0.0
m 0.016276372003761905
q 0.0049932083079624002
u 0.035024745856282048
y 0.0045638334032945416
˵d 0.0
^d 0.001360715770472891
ſ 0.0
þ 0.0
