b D01
é D02
p D03
o D04
è D05
v D07
d D08
l D09
j D10
z D11
w D12
a C01
u C02
i C03
e C04
c C06
t C07
s C08
r C09
n C10
m C11
ç C12
ê B00
à B01
y B02
x B03
k B05
q B07
g B08
h B09
f B10
space A03
_ A03_Alt
$ E00
"
E02 «
E03 »
E04 (
E05 )
E06 @
E07 +
E08 -
E09 /
E10 *
E11 =
E12 %
E00_Shift #
E01_Shift 1
E02_Shift 2
E03_Shift 3
E04_Shift 4
E05_Shift 5
E06_Shift 6
E07_Shift 7
E08_Shift 8
E09_Shift 9
E10_Shift 0
E11_Shift ˚d
E12_Shift `d
E00_Alt -
E01_Alt —
E02_Alt <
E03_Alt >
E04_Alt [
E05_Alt ]
E06_Alt ^d
E07_Alt ±
E08_Alt −
E09_Alt ÷
E10_Alt ×
E11_Alt ≠
E12_Alt ‰
E00_Alt_shift ¶
E01_Alt_shift „
E02_Alt_shift “
E03_Alt_shift ”
E04_Alt_shift ≤
E05_Alt_shift ≥
E07_Alt_shift ¬
E08_Alt_shift ¼
E09_Alt_shift ½
E10_Alt_shift ¾
E11_Alt_shift ′
E12_Alt_shift ″
D06 ^d
D06_Shift !
D01_Alt |
D02_Alt ´
D03_Alt &
D04_Alt œ
D05_Alt `
D06_Alt ¡
D07_Alt ˇd
D08_Alt ð
D09_Alt /
D10_Alt ĳ
D11_Alt ə
D12_Alt ˘d
D01_Alt_Shift ¦
D02_Alt_Shift ˝
D03_Alt_Shift §
D04_Alt_Shift Œ
D05_Alt_Shift `
D08_Alt_Shift Ð
D10_Alt_Shift Ĳ
D11_Alt_Shift Ə
C05 ,
C05_Shift  
C01_Alt æ
C02_Alt ù
C03_Alt ¨d
C04_Alt €
C05_Alt ’
C06_Alt ©
C07_Alt þ
C08_Alt ß
C09_Alt ®
C10_Alt ˜d
C11_Alt ¯d
C12_Alt ¸d
C01_Alt_Shift Æ
C02_Alt_Shift Ù
C03_Alt_Shift ˙
C04_Alt_Shift ¤
C05_Alt_Shift ¸d
C06_Alt_Shift ſ
C07_Alt_Shift Þ
C08_Alt_Shift ẞ
C09_Alt_Shift ™
C11_Alt_Shift °
C12_Alt_Shift ,
B04 .
B04_Shift :
B00_Alt /
B01_Alt \
B02_Alt {
B03_Alt }
B04_Alt …
B05_Alt ~
B06_Alt ¿
B07_Alt ˚d
B08_Alt µ
B09_Alt †
B10_Alt ˛d
B02_Alt_Shift ‘
B03_Alt_Shift ’
B04_Alt_Shift ·
B06_Alt_Shift ˙d
B07_Alt_Shift .
B09_Alt_Shift ‡
B10_Alt_Shift ª
" E01
