letter frequency
space 0.21074530442915895
e 0.06828520879866837
t 0.057281374379036576
r 0.044352846474173584
i 0.04108612217678505
a 0.04067277951220727
n 0.039684497867791525
o 0.03784044979887846
s 0.03637912328260005
l 0.026129912510736358
c 0.022770189137734903
d 0.01947298285898121
u 0.018617075361091112
p 0.01855627520213653
. 0.017123582643334204
f 0.01602586677020691
m 0.01570625314259008
( 0.015581458637843887
) 0.015568726694567329
; 0.01346134322103868
g 0.012228727123573872
h 0.011862813813096045
_ 0.010744879556754692
, 0.010641170359464077
- 0.010541797572162526
b 0.010241332022440522
: 0.009984314481368255
= 0.009258996463213567
0 0.006866740269050727
y 0.006554663180540166
v 0.006338091364271362
x 0.005873222673284489
w 0.005471439504668507
{ 0.005222994148458095
} 0.005217604808522767
k 0.005161939758130739
" 0.005003007339795064
S 0.004067503842007465
1 0.00404760054258011
E 0.0033573979011562887
C 0.0030804939547387773
T 0.0030577890526202623
' 0.0030447046056873276
A 0.0027542522000792613
I 0.0026057876086485058
> 0.002436315999942968
2 0.0023731919734841
P 0.002338115260188476
R 0.0023300708332369595
N 0.00224756027369733
O 0.002245475087529438
L 0.002209458690093989
[ 0.0021735580803857475
] 0.0021730282022811237
j 0.0021384097472746423
M 0.002056992468555523
D 0.0018187815022898423
z 0.0017760183341291042
3 0.001689242525711154
+ 0.0016859456907589777
B 0.0016813310423500773
% 0.0015933888794575413
5 0.0015840280546900883
F 0.0015623216778034921
* 0.0015567056444557481
< 0.0014593787803269768
\ 0.0014437058402914868
8 0.001362752235879698
4 0.0012308256977940986
q 0.0012234456863469175
U 0.0011570083219866493
H 0.001112601317178013
G 0.0010539289541316172
6 9.765282317916308E-4
# 9.68574092324399E-4
& 9.269252710491753E-4
V 8.108863579792807E-4
9 7.583837497386859E-4
/ 7.570819307574277E-4
W 7.088943170594313E-4
X 6.745128509837014E-4
! 6.317429100260336E-4
7 6.147367318743893E-4
Y 5.860612471814107E-4
@ 5.143331329339331E-4
| 5.141453125399859E-4
K 5.051707261422364E-4
Z 5.049871634206151E-4
? 3.210237854870427E-4
J 3.194604031836024E-4
$ 2.3848652552607195E-4
Q 1.8591740633724392E-4
~ 4.5601225226127685E-5
^ 2.3843706118843327E-5
` 1.6271900782798894E-5
� 5.02209722780233E-6
– 2.4656858716199558E-6
✖ 9.838427489558522E-7
﻿ 8.812397280494199E-7
č 8.584108526022725E-7
“ 8.218952905399852E-7
” 8.218952905399852E-7
› 5.54637322654716E-7
⚠ 5.54637322654716E-7
✓ 5.54637322654716E-7
ä 4.2920542630113625E-7
š 4.2920542630113625E-7
▶ 4.203871367610701E-7
