letter frequency
space 0.15752354416994468
e 0.10982289649166255
s 0.061986438055390794
i 0.05786155318684817
a 0.057801059490854755
n 0.0577594775209224
t 0.05510811871826924
r 0.05289102471923566
o 0.045049078961208286
u 0.04208437549798175
l 0.04042978955997053
d 0.031204368202190785
c 0.025537322349261992
p 0.02224415731716453
m 0.021400914460255143
é 0.018977689616061437
v 0.010531710520062798
, 0.009072035975666979
. 0.007828343729441406
f 0.007799436770442597
g 0.007783284413207889
' 0.007432341430866618
q 0.006866018696037096
b 0.006361048578944625
h 0.0056640466820247065
à 0.0033060704154264805
x 0.003194661830538875
0 0.0028461186706076323
C 0.002826035967757845
1 0.0027098788109830075
j 0.0026134935644875077
L 0.002510513548288123
- 0.0025010926968159776
è 0.0024120408982916896
y 0.002309844402758652
2 0.0021352738372909753
E 0.0020107998321622538
A 0.0019272696756226042
S 0.0016864580053406926
) 0.0016329746844204146
P 0.0015582532938153916
9 0.0015156233768702397
’ 0.0014972010790215904
( 0.0014859017955521896
M 0.0014857714145760747
I 0.0013324814446057963
: 0.0012887008528364961
D 0.001181517578308231
R 0.0010754031347822136
T 0.0010654041455948906
ê 9.91135380215821E-4
3 9.429508949875799E-4
B 9.08866032483553E-4
N 8.90892065477461E-4
z 8.530509972167168E-4
O 8.344096339060897E-4
5 8.219526240388858E-4
F 8.057048418662642E-4
4 7.811890137168874E-4
8 7.696301243263924E-4
U 7.052896707896992E-4
7 6.798725456085468E-4
6 6.763588222143289E-4
k 6.712198943237335E-4
! 6.469109334485664E-4
J 6.284867165222671E-4
G 6.02230130376192E-4
" 5.824044195875658E-4
/ 5.41420896964841E-4
V 4.847598311762593E-4
; 4.6997860070587953E-4
? 4.4128243968805694E-4
* 4.2831061698105397E-4
H 4.0719441206544285E-4
ç 3.956701213237354E-4
» 3.7225502113481866E-4
« 3.685333788762301E-4
w 3.6733511487094283E-4
ô 3.5505546399050537E-4
É 3.4384121458301943E-4
_ 2.888252823750699E-4
% 2.1106506057800238E-4
K 2.0173707740916993E-4
î 1.9687325534549933E-4
| 1.9263647259855967E-4
Q 1.9050117428200892E-4
W 1.7397261686682693E-4
â 1.64784135721025E-4
ù 1.4959476080098492E-4
û 1.449469560843648E-4
  1.3305196649492142E-4
] 1.1885078930213224E-4
Y 9.986210796122283E-5
& 8.744951456444294E-5
[ 8.687412700238926E-5
œ 8.282639063635022E-5
ï 7.161922301490137E-5
Z 7.134830448488252E-5
° 7.063605042682247E-5
X 6.924528471358767E-5
+ 6.355538260074609E-5
^ 6.30309561406728E-5
— 5.9143580371849354E-5
À 5.0770202363204776E-5
– 4.9680146568720436E-5
= 4.9286495584074574E-5
… 3.9624143414367376E-5
# 3.821371178298633E-5
~ 3.7782830357087585E-5
ë 3.6920291992176097E-5
@ 3.6086743325197476E-5
` 2.998303201675328E-5
> 2.6462971389702344E-5
º 2.3574527644883926E-5
• 2.1242757414968774E-5
È 1.7554173689873497E-5
› 1.7439658516133994E-5
á 1.482087062557355E-5
ö 1.4240520896772475E-5
€ 1.4148031660234543E-5
ü 1.2505747758420517E-5
í 1.2187206016831551E-5
ä 1.1371366514081122E-5
© 1.0896941211677897E-5
· 9.69274403001966E-6
ó 9.409472618558006E-6
а 9.40546334564229E-6
} 8.624616516127767E-6
│ 8.572769979008513E-6
о 8.509975361175687E-6
и 8.476841906196346E-6
α 7.717011519784705E-6
$ 7.6159242732993225E-6
” 7.090519680297855E-6
“ 7.020499245060035E-6
ο 6.94268499257123E-6
\ 6.8653123625788165E-6
е 6.640610113181432E-6
­ 6.604581804454781E-6
τ 6.575379861192565E-6
{ 6.3480743237982154E-6
Ç 6.340537591651072E-6
т 6.238951452312952E-6
ι 6.14493858841665E-6
н 6.112684027279815E-6
 5.8291087837109325E-6
р 5.524068931888864E-6
ε 5.422809250968658E-6
ν 5.309577974585879E-6
< 5.238982758412456E-6
► 5.052495764555447E-6
² 4.945961038563196E-6
´ 4.829245624725392E-6
с 4.823052864852184E-6
σ 4.291221983519699E-6
ρ 4.114117261181573E-6
к 3.952534663588533E-6
Î 3.95100995585391E-6
в 3.727996529102519E-6
η 3.6862689205795294E-6
ñ 3.662390047708243E-6
ς 3.3603371089441696E-6
π 3.3157091634569257E-6
κ 3.29820430897139E-6
š 3.2400859874367706E-6
ō 3.0713801436109407E-6
Ê 3.039034114992051E-6
л 2.942377958909269E-6
ú 2.8984842035134106E-6
↑ 2.8962682233759384E-6
ā 2.8191282572714374E-6
μ 2.8102486510916915E-6
ã 2.7998898156106177E-6
č 2.73518081240138E-6
υ 2.5651129100737527E-6
д 2.527813997434365E-6
п 2.453687977979693E-6
× 2.451827901723212E-6
† 2.3756028522299562E-6
§ 2.3383966435620827E-6
λ 2.178016544431583E-6
─ 2.126331140418975E-6
‘ 2.036199397632802E-6
ć 2.024017634536938E-6
м 2.0180843252432285E-6
Â 1.982264816952236E-6
ί 1.9063640555045983E-6
у 1.854761382682086E-6
→ 1.816659886575402E-6
γ 1.8057575842124717E-6
å 1.784374970204722E-6
‑ 1.7332939904032207E-6
з 1.7206810463483497E-6
ž 1.6588326515680356E-6
ă 1.6290211392290925E-6
ό 1.6159370867941564E-6
ω 1.6085194800967497E-6
æ 1.5921350284524456E-6
ł 1.5921254530462487E-6
Ã 1.4950746111074538E-6
ø 1.4918052230544098E-6
δ 1.4526513192641608E-6
ا 1.4083574691938227E-6
õ 1.4040681091760178E-6
б 1.3998785231395538E-6
Á 1.3871832502917692E-6
ī 1.3521312349683149E-6
ή 1.3314744801671775E-6
¦ 1.3281938901356832E-6
ά 1.3130964723356562E-6
έ 1.3130647244833798E-6
я 1.3040650987735716E-6
ū 1.2980240139645478E-6
г 1.2734119463178304E-6
 1.253309594611411E-6
Ü 1.247017669300041E-6
й 1.238109642760538E-6
 1.1538101892646324E-6
ý 1.143330072300061E-6
ē 1.1211017387170779E-6
ー 1.0951818953505173E-6
ч 1.0891303194626444E-6
³ 1.060156284265319E-6
ц 1.0340890717501356E-6
θ 1.01432760408923E-6
ل 9.84877369123008E-7
Å 9.607638046064923E-7
® 9.358547004977781E-7
├ 9.11950968479861E-7
ύ 8.807506665864816E-7
χ 8.740193838406132E-7
Œ 8.639137552036519E-7
Ô 8.596311530034622E-7
́ 8.583109876136693E-7
Ö 8.442969875394466E-7
ь 8.440413137624215E-7
− 8.201306916098274E-7
± 7.866846204864991E-7
✉ 7.823799635793557E-7
― 7.798705073865072E-7
С 7.679252296907015E-7
ン 7.663872976717367E-7
¨ 7.49101393749469E-7
ş 7.350102755139391E-7
ы 7.301935826813679E-7
ي 7.251447825391194E-7
φ 7.250676642984907E-7
µ 7.247440530635383E-7
ώ 7.226913740758147E-7
ß 7.193218113363581E-7
ř 7.187184003348666E-7
ı 7.050801982386278E-7
▼ 6.998736710194915E-7
ħ 6.918983048246024E-7
β 6.709471302263932E-7
이 6.660203148497213E-7
ń 6.655065441313156E-7
ą 6.494142454266647E-7
ъ 6.479292395434304E-7
Š 6.305212215437247E-7
О 6.142205946344929E-7
ų 6.058643851551617E-7
ș 6.029869176237111E-7
م 6.014171093643136E-7
ě 5.985883904141021E-7
 5.961845718860403E-7
Ž 5.943398300600312E-7
ż 5.895769348146319E-7
ț 5.795446061236544E-7
و 5.704448162025773E-7
ر 5.647781885737381E-7
П 5.263203214268361E-7
ę 5.261392571295187E-7
ő 5.194079430815109E-7
ė 5.136657072253865E-7
า 5.1283759628688E-7
└ 5.01355246825723E-7
기 4.944734746899176E-7
