letter frequency
space 0.1263663873860848
e 0.07834559732835958
t 0.0629644815736004
s 0.048507577088438725
o 0.04691527956845419
a 0.044628124543685366
r 0.040671453111847965
i 0.04056353298619021
n 0.03805641537870093
u 0.03488454216562828
c 0.029192963919899426
l 0.028582672497419366
/ 0.028083692372840585
p 0.023599270471783014
d 0.02066760246591782
h 0.01768484160737825
m 0.016242904318726843
. 0.013694766401266944
v 0.011857525262431251
: 0.010985505403233349
# 0.009764968199849712
f 0.009590649742809178
é 0.008902148362521244
g 0.007557790968331042
b 0.007141927692623659
! 0.006254031934064828
P 0.00591049552223161
R 0.005817599302922185
@ 0.005478011787122886
M 0.005273389243789462
T 0.005221509529485138
C 0.0051126218128843175
L 0.005090816361026191
N 0.004994959012439207
q 0.0049829412089475375
A 0.004957228864665805
y 0.004554449190470046
S 0.0045333934035931625
E 0.004467148015779173
D 0.004463489304032461
F 0.004438583997193971
O 0.004274595191450162
1 0.004013484319955444
I 0.004011404305429588
j 0.003954184669117255
' 0.00388099751629233
J 0.0038155108883750092
, 0.0037587747135355166
B 0.003746719546395787
2 0.0037229468389533707
0 0.0037204835560139876
z 0.0036588609999229564
k 0.0034972615668094156
x 0.0033171752797669448
G 0.003112047614163002
H 0.0030878759354566786
U 0.002665606438723293
V 0.002548212978754713
6 0.0024696587861748436
w 0.0024242373754086136
3 0.002389046072867449
5 0.0023364524052462044
à 0.002227964327906679
4 0.002139054034280538
K 0.0020591838770213904
Q 0.00201360406573711
9 0.002005250764940103
8 0.001847955543530336
7 0.0018101015559175088
Y 0.0017421895097069053
Z 0.0017284442043897985
W 0.0017234333153014455
- 0.001710363931655812
X 0.0015609833561499595
" 0.0015392749603830194
è 0.001294468248251586
’ 0.0010411409068890151
ê 8.315741088440122E-4
_ 6.593702270079591E-4
; 6.321403629328899E-4
& 5.706056010182697E-4
) 5.350530248599521E-4
️ 5.155885010861749E-4
« 4.71711226862176E-4
» 4.6378947202526695E-4
  4.497582883845136E-4
ç 4.1136858978740843E-4
+ 4.0467301947093434E-4
] 3.014564107795592E-4
[ 3.0075700932732203E-4
( 2.464482387635446E-4
… 2.0672802362247712E-4
ô 2.0135933188379445E-4
â 1.7062882258136856E-4
➡ 1.2452586619506137E-4
❤ 1.1422002867779412E-4
— 9.302039314754433E-5
⚽ 9.101031696593791E-5
✌ 9.058240897201074E-5
É 8.97103891357343E-5
î 7.958973588475743E-5
☀ 7.912049227790593E-5
► 7.219658309913171E-5
Ç 6.294794968443127E-5
œ 6.234742330646484E-5
û 5.839373832067858E-5
À 4.8301854800374917E-5
% 4.3192090637751105E-5
= 3.6241230711389155E-5
ë 2.877615359908042E-5
ï 2.779087382319664E-5
ù 2.6348916322712477E-5
♥ 2.1068352759134887E-5
° 1.961201039331412E-5
⚡ 1.8241977219512975E-5
➪ 1.7556960632612407E-5
– 1.6557295991392018E-5
☺ 1.6386496590438247E-5
* 1.497330882062729E-5
“ 1.4944539089954081E-5
” 1.4944539089954081E-5
♫ 1.4045568506089925E-5
Ê 1.1932979284041794E-5
★ 1.1704640421741603E-5
€ 1.097646923883122E-5
♦ 1.0534176379567443E-5
​ 9.563281469020264E-6
‎ 9.363712337393283E-6
✈ 9.363712337393283E-6
ü 9.09221887908328E-6
▶ 8.421587157519314E-6
☆ 7.0227842530449625E-6
・ 7.0227842530449625E-6
È 6.551721663107977E-6
̶ 6.294613070134579E-6
⚔ 5.852320210870802E-6
✪ 5.852320210870802E-6
☕ 4.681856168696642E-6
´ 4.681856168696642E-6
⌚ 4.681856168696642E-6
✨ 4.681856168696642E-6
| 4.667471303360038E-6
⏰ 4.439132441059847E-6
ö 4.210793578759657E-6
$ 3.7397309888226716E-6
• 3.5113921265224812E-6
✂ 3.5113921265224812E-6
❄ 3.5113921265224812E-6
→ 3.5113921265224812E-6
  3.4970072611858773E-6
  3.4970072611858773E-6
Â 3.040329536585496E-6
☎ 2.5692669466485116E-6
ó 2.5692669466485116E-6
⬇ 2.5692669466485116E-6
Ü 2.340928084348321E-6
✅ 2.340928084348321E-6
ɐ 2.098204356711526E-6
⚠ 2.098204356711526E-6
á 2.098204356711526E-6
⛳ 2.098204356711526E-6
ǝ 2.098204356711526E-6
? 1.8698654944113358E-6
✏ 1.8698654944113358E-6
⭐ 1.8698654944113358E-6
© 1.398802904474351E-6
­ 1.398802904474351E-6
¯ 1.398802904474351E-6
Î 1.398802904474351E-6
ñ 1.398802904474351E-6
✓ 1.398802904474351E-6
︎ 1.1704640421741604E-6
☔ 1.1704640421741604E-6
‘ 1.1704640421741604E-6
‼ 1.1704640421741604E-6
♪ 1.1704640421741604E-6
~ 1.1704640421741604E-6
® 1.1704640421741604E-6
º 1.1704640421741604E-6
⛄ 1.1704640421741604E-6
⛵ 1.1704640421741604E-6
⬅ 1.1704640421741604E-6
✉ 1.1704640421741604E-6
ė 1.1704640421741604E-6
➤ 1.1704640421741604E-6
ɔ 6.994014522371755E-7
\ 6.994014522371755E-7
ɟ 6.994014522371755E-7
ɹ 6.994014522371755E-7
{ 6.994014522371755E-7
ɾ 6.994014522371755E-7
ʇ 6.994014522371755E-7
⚗ 6.994014522371755E-7
· 6.994014522371755E-7
ʼ 6.994014522371755E-7
ツ 6.994014522371755E-7
Ö 6.994014522371755E-7
˙ 6.994014522371755E-7
ß 6.994014522371755E-7
æ 6.994014522371755E-7
ú 6.994014522371755E-7
̀ 6.994014522371755E-7
✔ 6.994014522371755E-7
⅂ 6.994014522371755E-7
ן 6.994014522371755E-7
⟶ 6.994014522371755E-7
