c1	c2	rang	count	percent
e	s	1	30770	2.509
e	n	2	27771	2.265
l	e	3	25918	2.114
a	i	4	25561	2.084
d	e	5	25100	2.047
r	e	6	24361	1.987
n	t	7	23955	1.954
o	n	8	22860	1.864
q	u	9	20350	1.660
o	u	10	20198	1.647
i	t	11	19661	1.603
a	n	12	17465	1.424
e	r	13	16848	1.374
t	e	14	16667	1.359
u	r	15	16384	1.336
i	s	16	15242	1.243
m	e	17	14196	1.158
e	t	18	13931	1.136
u	e	19	13127	1.070
s	e	20	12472	1.017
l	a	21	12058	0.983
n	e	22	11992	0.978
i	n	23	11926	0.973
c	e	24	11012	0.898
t	i	25	10951	0.893
i	e	26	10803	0.881
n	s	27	10726	0.875
c	o	28	10459	0.853
r	a	29	10357	0.845
e	u	30	10254	0.836
p	a	31	9894	0.807
u	s	32	9659	0.788
u	n	33	9644	0.786
i	l	34	9501	0.775
t	r	35	9370	0.764
a	r	36	9192	0.750
e	l	37	9166	0.747
u	i	38	8732	0.712
e	m	39	8675	0.707
t	a	40	8606	0.702
a	u	41	8593	0.701
i	r	42	8188	0.668
v	e	43	7882	0.643
p	o	44	7786	0.635
o	i	45	7665	0.625
u	t	46	7651	0.624
s	t	47	7506	0.612
m	a	48	7493	0.611
r	i	49	7313	0.596
s	i	50	7171	0.585
s	o	51	7147	0.583
p	r	52	7127	0.581
s	a	53	6869	0.560
a	t	54	6709	0.547
r	o	55	6500	0.530
o	r	56	6472	0.528
a	v	57	6470	0.528
n	d	58	6463	0.527
e	,	59	6408	0.523
a	s	60	6251	0.510
i	o	61	6233	0.508
c	h	62	6120	0.499
o	m	63	6087	0.496
l	i	64	5994	0.489
p	e	65	5912	0.482
'	a	66	5751	0.469
v	a	67	5649	0.461
l	u	68	5312	0.433
l	'	69	5241	0.427
d	'	70	5164	0.421
n	c	71	5098	0.416
d	i	72	5054	0.412
v	o	73	4883	0.398
'	e	74	4818	0.393
r	t	75	4750	0.387
a	l	76	4712	0.384
r	s	77	4584	0.374
m	o	78	4561	0.372
é	t	79	4553	0.371
s	,	80	4553	0.371
p	l	81	4539	0.370
t	é	82	4500	0.367
n	o	83	4431	0.361
t	o	84	4394	0.358
r	é	85	4357	0.355
d	a	86	4352	0.355
u	'	87	4291	0.350
s	u	88	4064	0.331
e	c	89	3915	0.319
d	u	90	3838	0.313
n	a	91	3821	0.312
c	i	92	3692	0.301
f	a	93	3619	0.295
u	x	94	3550	0.289
a	c	95	3483	0.284
^d	e	96	3444	0.281
'	i	97	3427	0.279
l	o	98	3407	0.278
v	i	99	3399	0.277
i	c	100	3387	0.276
m	p	101	3345	0.273
g	e	102	3339	0.272
é	e	103	3296	0.269
d	é	104	3280	0.267
n	i	105	3276	0.267
