letter	frequency
é	0.0130432053221
.	0.0125682590007
/	0.0102184498372
,	0.00836205747464
:	0.00665537473026
)	0.0044067234732
(	0.00423198439847
-	0.00418417727562
#	0.00362685533509
;	0.00337554564968
_	0.00270299156635
!	0.00265192682969
à	0.00250781758762
=	0.00203951750331
@	0.00203602038939
è	0.0017144851772
^d	0.00148717708621
’	0.00114689565473
{	0.00113237714881
}	0.00113216214233
]	0.000636812729912
[	0.000619925550268
*	0.000566118248443
>	0.000540411616711
+	0.000538475801697
%	0.000470010159985
&	0.000444689267831
«	0.000357262441724
»	0.000356456689726
ç	0.000350489448104
<	0.000318150350086
\	0.00031585873217
?	0.000301298753552
|	0.000213699438046
É	0.000211413288235
¨d	0.000104503202145
…	9.27234682618e-05
ù	8.75981784183e-05
œ	6.51000893843e-05
—	6.33912604548e-05
$	5.68348344096e-05
°	4.38432082786e-05
À	4.34132192364e-05
~d	3.56648795036e-05
´d	3.50638787584e-05
–	3.23300383671e-05
Ç	2.52242551888e-05
ˋd	1.97128929875e-05
º	1.27621955503e-05
È	1.14793287346e-05
›	9.25966132768e-06
”	9.09324682547e-06
“	9.05655045374e-06
ˇd	6.38274021041e-06
©	6.19756010999e-06
ˉd	5.74970851075e-06
·	5.32312263132e-06
˘d	1.70298561924e-06
°d	1.58816527619e-06
˙d	1.57250033589e-06
‘	1.47436940075e-06
×	1.28495613891e-06
†	1.24500804744e-06
§	1.22550898464e-06
æ	1.07963666699e-06
˛d	1.05150820211e-06
‑	9.08386250089e-07
®	8.97699777031e-07
¸d	8.96818629353e-07
ǝ	7.357298519e-07
,d	6.5632013615e-07
ß	6.20323565016e-07
Œ	4.52760686205e-07
±	4.12286372862e-07
ı	3.69519054953e-07
˝d	3.2764381683e-07
.d	2.85427958042e-07
ð	1.84308422325e-07
½	1.71072646292e-07
„	1.49080755767e-07
∞	1.36311207e-07
ª	1.34220144484e-07
Æ	1.16739740797e-07
¡	1.13036310185e-07
¿	9.69916183198e-08
£	9.10814366768e-08
‰	8.99236120028e-08
İ	8.41759317472e-08
‹	7.7027080559e-08
¤	7.59423496826e-08
≤	3.76609970294e-08
þ	3.54958978142e-08
Þ	3.40710364674e-08
¢	3.29253426282e-08
÷	2.97045600165e-08
¾	2.80066136711e-08
≥	2.6954120451e-08
_d	2.1400768955e-08
¼	1.93900333289e-08
‡	1.82736597706e-08
ŋ	1.46760011313e-08
√	1.45386995719e-08
¥	1.11751188754e-08
≠	1.0885431533e-08
‚	9.59277803213e-09
ſ	8.82280649927e-09
Ð	7.73756400281e-09
ʒ	4.99614451954e-09
≃	1.69920717764e-09
Ŋ	1.41600598136e-09
Ǝ	1.18726655361e-09
˵d	1.12191243139e-09
ĳ	1.08923537028e-09
̑d	9.80311833252e-10
-d	6.27674718365e-10
Ĳ	5.88187099951e-10
₩	3.15878257381e-10
Ʒ	2.06954720353e-10
ẞ	1.41600598136e-10
/d	1.08923537028e-10
θ2	0.0
