	frequency
.	0.0185039631995
(	0.0168375242048
)	0.0168237659035
;	0.014546500272
_	0.0116110547683
,	0.0114989852785
-	0.0113916017691
:	0.0107891783854
=	0.0100053904249
{	0.00564403451821
}	0.0056382107283
>	0.00263271434164
[	0.00234877476106
]	0.00234820216797
+	0.00182185455392
%	0.00172183647559
*	0.00168219610099
<	0.00157702344234
\	0.00156008706216
#	0.0010466535966
&	0.00100164734574
/	0.000818112452141
!	0.00068266949751
@	0.000555794985334
|	0.000555592024205
?	0.000346902423199
$	0.000257711600653
~d	4.95864725702e-05
^d	2.59204165164e-05
ˋd	1.7583624849e-05
–	2.66445180196e-06
ˇd	1.85521957145e-06
“	8.88150600654e-07
”	8.88150600654e-07
´d	6.18406523817e-07
›	5.99348210083e-07
¨d	4.63804892863e-07
é	3.09203261909e-07
∞	2.99674105042e-07
…	1.54601630954e-07
—	1.54601630954e-07
ù	1.54601630954e-07
̑d	0.0
æ	0.0
ĳ	0.0
‹	0.0
˛d	0.0
‑	0.0
˵d	0.0
ſ	0.0
.d	0.0
®	0.0
ʒ	0.0
¢	0.0
©	0.0
’	0.0
¾	0.0
,d	0.0
Þ	0.0
º	0.0
/d	0.0
ə	0.0
ẞ	0.0
˝d	0.0
‡	0.0
œ	0.0
ŋ	0.0
ª	0.0
θ2	0.0
≥	0.0
É	0.0
ˉd	0.0
°d	0.0
ç	0.0
≠	0.0
≤	0.0
ß	0.0
×	0.0
Œ	0.0
¸d	0.0
Ŋ	0.0
Ç	0.0
¿	0.0
_d	0.0
»	0.0
·	0.0
Ĳ	0.0
‰	0.0
˙d	0.0
«	0.0
§	0.0
£	0.0
-d	0.0
‘	0.0
‚	0.0
¤	0.0
Æ	0.0
˘d	0.0
½	0.0
Ʒ	0.0
İ	0.0
±	0.0
₩	0.0
¥	0.0
¡	0.0
√	0.0
Ə	0.0
ð	0.0
è	0.0
ı	0.0
à	0.0
Ð	0.0
È	0.0
†	0.0
÷	0.0
≃	0.0
À	0.0
¼	0.0
„	0.0
°	0.0
þ	0.0
