	frequency
é	0.0198916860332
,	0.00950895999254
.	0.00820536954726
à	0.0034652961471
-	0.0026215493915
è	0.00252820871343
^d	0.00201907275752
)	0.00171162140281
’	0.00156930871961
(	0.00155746683454
:	0.00135076678321
!	0.000678076301041
/	0.000567496608498
;	0.000492613534983
?	0.000462535320149
*	0.000448938753349
ç	0.0004147262383
»	0.000390183428779
«	0.000386282546173
É	0.000360401167062
_	0.000302735578023
%	0.000221230297393
|	0.000201914158625
¨d	0.000158085866711
ù	0.000156799487939
]	0.000124574836739
&	9.16612255056e-05
[	9.10581263421e-05
œ	8.68154444052e-05
°	7.40393046543e-05
+	6.661631326e-05
´d	6.28879350425e-05
—	6.19920314558e-05
À	5.3215377935e-05
–	5.20728232794e-05
=	5.16602134227e-05
~d	4.97073276852e-05
…	4.15325066475e-05
#	4.00541463334e-05
@	3.78247396131e-05
ˋd	3.23923315718e-05
>	2.77374929437e-05
º	2.47099152626e-05
È	1.83996112633e-05
›	1.82795808524e-05
ˇd	1.20233909354e-05
©	1.14217556347e-05
ˉd	1.05260525596e-05
·	1.0159562357e-05
}	9.03999208368e-06
$	7.98271958084e-06
”	7.43201064757e-06
“	7.35861791422e-06
\	7.19595697892e-06
{	6.65380791441e-06
Ç	6.64590820097e-06
<	5.49132247895e-06
˘d	3.40597076914e-06
°d	3.17633011469e-06
×	2.5699119237e-06
†	2.49001575177e-06
§	2.45101763154e-06
‘	2.13426607444e-06
˛d	2.10301611442e-06
˙d	1.84384647904e-06
‑	1.81677224983e-06
¸d	1.79363701155e-06
æ	1.67259159779e-06
,d	1.31264009142e-06
®	9.80926985931e-07
Œ	9.05521247631e-07
±	8.24572632099e-07
ß	7.53965520431e-07
ı	7.39038008069e-07
˝d	6.55287543364e-07
.d	5.70855837422e-07
ð	3.68616793856e-07
½	3.42145245438e-07
„	2.98161470448e-07
ª	2.68440251977e-07
Æ	2.3347944942e-07
¡	2.26072589218e-07
¿	1.93983209909e-07
£	1.82162848252e-07
‰	1.79847199223e-07
İ	1.68351840296e-07
‹	1.5405413989e-07
∞	1.52752750935e-07
¤	1.51884678436e-07
ə	1.44986844164e-07
≤	7.53219836796e-08
þ	7.09917858458e-08
Þ	6.8142063545e-08
¢	6.58506761823e-08
÷	5.94091118465e-08
¾	5.60132196236e-08
≥	5.39082334736e-08
_d	4.28015320121e-08
¼	3.8780061314e-08
‡	3.65473145051e-08
ŋ	2.93519982179e-08
√	2.9077395137e-08
¥	2.23502346711e-08
≠	2.1770860066e-08
‚	1.91855534205e-08
ſ	1.7645610567e-08
Ð	1.54751258732e-08
ʒ	9.99228766217e-09
Ə	6.60076543433e-09
≃	3.39841388698e-09
Ŋ	2.83201157248e-09
˵d	2.24382455358e-09
ĳ	2.17847044037e-09
̑d	1.96062339633e-09
-d	1.25534926375e-09
Ĳ	1.1763740378e-09
₩	6.31756427708e-10
Ʒ	4.13909383671e-10
ẞ	2.83201157248e-10
/d	2.17847044037e-10
θ2	0.0
