	frequency
/	0.0325703426016
.	0.0158826420549
:	0.0127405495647
#	0.0113250193579
é	0.0103243554376
!	0.00725453342972
@	0.00635317885959
,	0.00435927649957
à	0.00258390387207
-	0.00198361164508
^d	0.00157485878236
è	0.00150127247417
’	0.00120747356095
_	0.000764711203564
;	0.000733131096855
&	0.000661765542395
)	0.000620533087258
«	0.00054707180466
»	0.000537884470402
ç	0.000477088828885
+	0.000469323574365
]	0.000349617081977
[	0.000348805944161
(	0.00028582080531
…	0.000239754889256
—	0.000107881329618
É	0.00010404251942
¨d	8.45585288283e-05
Ç	7.30045130844e-05
œ	7.23080466222e-05
À	5.6018558324e-05
%	5.00924583233e-05
=	4.20311291302e-05
ù	3.05584187584e-05
°	2.27452248492e-05
–	1.9202489325e-05
*	1.736544439e-05
“	1.73320784077e-05
”	1.73320784077e-05
´d	1.1654113691e-05
È	7.59842460759e-06
|	5.41314644155e-06
$	4.33719034972e-06
~d	2.97973299153e-06
?	2.16859517486e-06
˙d	2.16859517486e-06
©	1.62227563335e-06
ˉd	1.62227563335e-06
‘	1.35745735818e-06
º	1.35745735818e-06
®	1.35745735818e-06
·	8.11137816674e-07
æ	8.11137816674e-07
\	8.11137816674e-07
ß	8.11137816674e-07
{	8.11137816674e-07
ẞ	0.0
ª	0.0
¢	0.0
/d	0.0
ſ	0.0
˵d	0.0
}	0.0
,d	0.0
Þ	0.0
ə	0.0
˝d	0.0
ŋ	0.0
ˋd	0.0
‑	0.0
‡	0.0
¾	0.0
‹	0.0
˛d	0.0
ĳ	0.0
ʒ	0.0
θ2	0.0
̑d	0.0
.d	0.0
ı	0.0
Æ	0.0
¤	0.0
‚	0.0
°d	0.0
≠	0.0
≤	0.0
×	0.0
Œ	0.0
¸d	0.0
Ŋ	0.0
¿	0.0
<	0.0
_d	0.0
Ĳ	0.0
‰	0.0
§	0.0
£	0.0
-d	0.0
„	0.0
¼	0.0
≃	0.0
¥	0.0
≥	0.0
>	0.0
½	0.0
›	0.0
Ʒ	0.0
İ	0.0
±	0.0
₩	0.0
¡	0.0
÷	0.0
∞	0.0
√	0.0
Ə	0.0
ˇd	0.0
ð	0.0
˘d	0.0
Ð	0.0
†	0.0
þ	0.0
