	frequency
é	0.0169458152907
.	0.0100029561633
,	0.00919299417185
/	0.00379284279217
-	0.00343476085461
:	0.00343358622157
)	0.00311372702132
à	0.00303062730489
(	0.00295830796864
è	0.00217269421816
;	0.00192205396487
^d	0.00177533612591
_	0.00147976505961
’	0.00137619433178
!	0.00133618133356
#	0.00126921061251
=	0.00104607032614
@	0.000721157176183
}	0.000571053066497
{	0.000569807611935
*	0.000529107157217
?	0.000404935357956
ç	0.000379489873529
]	0.000369441794386
»	0.000365935190064
«	0.000363733217404
%	0.000354177131306
[	0.000342604571595
É	0.000298725185591
>	0.000285461428519
+	0.000282410863437
&	0.000239670269218
|	0.000217631843965
<	0.000162095402217
\	0.000161846585581
¨d	0.000134970926741
ù	0.00012851089239
œ	7.66831601864e-05
°	6.15059662084e-05
—	6.03972182895e-05
…	5.72169544067e-05
´d	5.15376000555e-05
À	4.81741581804e-05
~d	4.50224827044e-05
–	4.38449527362e-05
$	3.25910547649e-05
ˋd	2.76722277424e-05
º	1.99036779459e-05
È	1.54795314714e-05
›	1.4683599503e-05
Ç	1.26171778692e-05
ˇd	9.8042347055e-06
©	9.29963207106e-06
ˉd	8.58306961103e-06
·	8.20876366724e-06
”	7.76763141889e-06
“	7.70891723221e-06
˘d	2.72477661531e-06
°d	2.54106409175e-06
×	2.05592953896e-06
†	1.99201260142e-06
§	1.96081410523e-06
‘	1.84315859537e-06
˙d	1.69193670072e-06
˛d	1.68241289154e-06
‑	1.45341779986e-06
¸d	1.43490960924e-06
æ	1.4191870599e-06
,d	1.05011207314e-06
®	9.20487324563e-07
Œ	7.24416998105e-07
ß	6.84286198012e-07
±	6.59658105679e-07
ı	5.91230406455e-07
˝d	5.24230034691e-07
.d	4.56684669938e-07
ð	2.94893435085e-07
½	2.7371619635e-07
„	2.38529176358e-07
ª	2.14752201582e-07
Æ	1.86783559536e-07
¡	1.80858071374e-07
¿	1.55186567927e-07
∞	1.52169611252e-07
£	1.45730278602e-07
‰	1.43877759378e-07
İ	1.34681472237e-07
‹	1.23243311912e-07
¤	1.21507742749e-07
ə	1.15989475331e-07
≤	6.02575869436e-08
þ	5.67934286767e-08
Þ	5.4513650836e-08
¢	5.26805409458e-08
÷	4.75272894772e-08
¾	4.48105756989e-08
≥	4.31265867789e-08
_d	3.42412256097e-08
¼	3.10240490512e-08
‡	2.92378516041e-08
ŋ	2.34815985743e-08
√	2.32619161096e-08
¥	1.78801877369e-08
≠	1.74166880528e-08
‚	1.53484427364e-08
ſ	1.41164884536e-08
Ð	1.23801006985e-08
ʒ	7.99383012973e-09
Ə	5.28061234746e-09
≃	2.71873110958e-09
Ŋ	2.26560925799e-09
˵d	1.79505964287e-09
ĳ	1.7427763523e-09
̑d	1.56849871707e-09
-d	1.004279411e-09
Ĳ	9.41099230241e-10
₩	5.05405142166e-10
Ʒ	3.31127506936e-10
ẞ	2.26560925799e-10
/d	1.7427763523e-10
θ2	0.0
